name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Bagel and Schmear,{1},1.0,Artifact — Food,"Share — {W}, {T}, Sacrifice this artifact: Put a +1/+1 counter on up to one target creature. Draw a card. Activate only as a sorcery.
Nosh — {2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.",,W,common,SPM,Marvel's Spider-Man,161,,,,,,draw;lifegain;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",,0.0,Land — Town // Legendary Artifact — Vehicle,,,"G,U",rare,FIN,Final Fantasy,272,,,,"G,U",Flying;Transform;Crew,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Bandit's Haul,{3},3.0,Artifact,"Whenever you commit a crime, put a loot counter on this artifact. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
{T}: Add one mana of any color.
{2}, {T}, Remove two loot counters from this artifact: Draw a card.",,,uncommon,OTJ,Outlaws of Thunder Junction,240,,,,"B,G,R,U,W",,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,FDN,Foundations,352,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Barbed Bloodletter,{1}{B},2.0,Artifact — Equipment,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Equipped creature gets +1/+2.
Equip {2}",B,B,common,ECL,Lorwyn Eclipsed,86,,,,,Equip;Flash,flash;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Bard's Bow,{2}{G},3.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2, has reach, and is a Bard in addition to its other types.
Perseus's Bow — Equip {6} ({6}: Attach to target creature you control. Equip only as a sorcery.)",G,G,common,FIN,Final Fantasy,174,,,,,Job select;Equip,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Bark of Doran,{1}{W},2.0,Artifact — Equipment,"Equipped creature gets +0/+1.
As long as equipped creature's toughness is greater than its power, it assigns combat damage equal to its toughness rather than its power.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",W,W,uncommon,ECL,Lorwyn Eclipsed,6,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Barrels of Blasting Jelly,{1},1.0,Artifact,"{1}: Add one mana of any color. Activate only once each turn.
{5}, {T}, Sacrifice this artifact: It deals 5 damage to target creature.",,,common,TLA,Avatar: The Last Airbender,254,,,,"B,G,R,U,W",,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Baseball Bat,{G}{W},2.0,Artifact — Equipment,"When this Equipment enters, attach it to target creature you control.
Equipped creature gets +1/+1.
Whenever equipped creature attacks, tap up to one target creature.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)","G,W","G,W",uncommon,DSK,Duskmourn: House of Horror,209,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,CLB,Commander Legends: Battle for Baldur's Gate,595,,,,,Equip,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Bear Trap,{1},1.0,Artifact,"Flash
{3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.",,,common,DSK,Duskmourn: House of Horror,243,,,,,Flash,flash,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Bender's Waterskin,{3},3.0,Artifact,"Untap this artifact during each other player's untap step.
{T}: Add one mana of any color.",,,common,TLA,Avatar: The Last Airbender,255,,,,"B,G,R,U,W",,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Bespoke Battlegarb,{1}{R},2.0,Artifact — Equipment,"Equipped creature gets +2/+0.
Celebration — At the beginning of combat on your turn, if two or more nonland permanents entered the battlefield under your control this turn, attach this Equipment to up to one target creature you control.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",R,R,common,WOE,Wilds of Eldraine,122,,,,,Celebration;Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Bespoke Bō,{2}{U},3.0,Artifact — Equipment,"When this Equipment enters, return up to one other target nonland permanent to its owner's hand.
Equipped creature gets +2/+1 and has vigilance.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",U,U,uncommon,TMT,Teenage Mutant Ninja Turtles,31,,,,,Equip,bounce;pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Biorganic Carapace,{2}{W}{U},4.0,Artifact — Equipment,"When this Equipment enters, attach it to target creature you control.
Equipped creature gets +2/+2 and has ""Whenever this creature deals combat damage to a player, draw a card for each modified creature you control."" (Equipment, Auras you control, and counters are modifications.)
Equip {2}","U,W","U,W",rare,SPM,Marvel's Spider-Man,269,,,,,Equip,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
