name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Candlestick,{U},1.0,Artifact — Clue Equipment,"Equipped creature gets +1/+1 and has ""Whenever this creature attacks, surveil 2."" (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}",U,U,uncommon,MKM,Murders at Karlov Manor,43,,,,,Surveil;Equip,draw;pump;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Candy Trail,{1},1.0,Artifact — Food Clue,"When this artifact enters, scry 2.
{2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.",,,common,WOE,Wilds of Eldraine,243,,,,,Scry,draw;lifegain;scry,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Careening Mine Cart,{3},3.0,Artifact — Vehicle,"Whenever this Vehicle attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",,,uncommon,LCI,The Lost Caverns of Ixalan,247,3,3,,"B,G,R,U,W",Treasure;Crew,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Cargo Ship,{1}{U},2.0,Artifact — Vehicle,"Flying, vigilance
{T}: Add {C}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",U,U,uncommon,FIN,Final Fantasy,47,2,3,,C,Flying;Vigilance;Crew,flying;ramp;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Carnelian Orb of Dragonkind,{2}{R},3.0,Artifact,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",R,R,common,FDN,Foundations,759,,,,R,,ramp,"standard,future,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,paupercommander,duel"
Carrion Cruiser,{2}{B},3.0,Artifact — Vehicle,"When this Vehicle enters, mill two cards. Then return a creature or Vehicle card from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",B,B,uncommon,DFT,Aetherdrift,305,3,2,,,Crew;Mill,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Carrot Cake,{1}{W},2.0,Artifact — Food,"When this artifact enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{2}, {T}, Sacrifice this artifact: You gain 3 life.",W,W,common,BLB,Bloomburrow,7,,,,,Scry,lifegain;scry;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Cauldron of Essence,{1}{B}{G},3.0,Artifact,"Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.
{1}{B}{G}, {T}, Sacrifice a creature: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.","B,G","B,G",rare,SOS,Secrets of Strixhaven,347,,,,,,bounce;lifegain;reanimation,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Celestial Armor,{2}{W},3.0,Artifact — Equipment,"Flash (You may cast this spell any time you could cast an instant.)
When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn.
Equipped creature gets +2/+0 and has flying.
Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)",W,W,rare,FDN,Foundations,295,,,,,Equip;Flash,flash;protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Chainsaw,{1}{R},2.0,Artifact — Equipment,"When this Equipment enters, it deals 3 damage to up to one target creature.
Whenever one or more creatures die, put a rev counter on this Equipment.
Equipped creature gets +X/+0, where X is the number of rev counters on this Equipment.
Equip {3}",R,R,rare,DSK,Duskmourn: House of Horror,314,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
