name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Galvanizing Sawship,{5}{R},6.0,Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 3+.)
3+ | Flying, haste",R,R,uncommon,EOE,Edge of Eternities,136,6,5,,,Station,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,DFT,Aetherdrift,313,4,2,,,Haste;Crew;Trample,haste;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Gathering Stone,{4},4.0,Artifact,"As this artifact enters, choose a creature type.
Spells you cast of the chosen type cost {1} less to cast.
When this artifact enters and at the beginning of your upkeep, look at the top card of your library. If it's a card of the chosen type, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",,,uncommon,ECL,Lorwyn Eclipsed,257,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Genji Glove,{5},5.0,Artifact — Equipment,"Equipped creature has double strike.
Whenever equipped creature attacks, if it's the first combat phase of the turn, untap it. After this phase, there is an additional combat phase.
Equip {3}",,,rare,PFIN,Final Fantasy Promos,258s,,,,,Equip,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Ghost Vacuum,{1},1.0,Artifact,"{T}: Exile target card from a graveyard.
{6}, {T}, Sacrifice this artifact: Put each creature card exiled with this artifact onto the battlefield under your control with a flying counter on it. Each of them is a 1/1 Spirit in addition to its other types. Activate only as a sorcery.",,,rare,PDSK,Duskmourn: House of Horror Promos,248s,,,,,,removal;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,PDOM,Dominaria Promos,215s,,,,"B,G,R,U,W",,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Glass Casket,{1}{W},2.0,Artifact,"When this artifact enters, exile target creature an opponent controls with mana value 3 or less until this artifact leaves the battlefield.",W,W,uncommon,WOE,Wilds of Eldraine,16,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Glider Staff,{2}{W},3.0,Artifact — Equipment,"When this Equipment enters, airbend up to one target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Equipped creature gets +1/+1 and has flying.
Equip {2}",W,W,uncommon,TLA,Avatar: The Last Airbender,22,,,,,Airbend;Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Glimmerlight,{2},2.0,Artifact — Equipment,"When this Equipment enters, create a 1/1 white Glimmer enchantment creature token.
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,common,DSK,Duskmourn: House of Horror,249,,,,,Equip,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Glowcap Lantern,{G},1.0,Artifact — Equipment,"Equipped creature has ""You may look at the top card of your library any time"" and ""Whenever this creature attacks, it explores."" (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)
Equip {2}",G,G,uncommon,LCI,The Lost Caverns of Ixalan,187,,,,,Explore;Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Goblin Firebomb,{1},1.0,Artifact,"Flash
{7}, {T}, Sacrifice this artifact: Destroy target permanent.",,,common,BRO,The Brothers' War,235,,,,,Flash,flash;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Gold Pan,{2},2.0,Artifact — Equipment,"When this Equipment enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,common,OTJ,Outlaws of Thunder Junction,242,,,,"B,G,R,U,W",Treasure;Equip,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Goldvein Pick,{2},2.0,Artifact — Equipment,"Equipped creature gets +1/+1.
Whenever equipped creature deals combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,common,KHM,Kaldheim,239,,,,"B,G,R,U,W",Treasure;Equip,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Grim Bauble,{B},1.0,Artifact,"When this artifact enters, target creature an opponent controls gets -2/-2 until end of turn.
{2}{B}, {T}, Sacrifice this artifact: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",B,B,common,DFT,Aetherdrift,88,,,,,Surveil,surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Guac & Marshmallow Pizza,{G},1.0,Artifact — Food,"Flash
When this artifact enters, target creature gets +2/+2 until end of turn. Untap it.
{2}, {T}, Sacrifice this artifact: You gain 3 life.",G,G,common,TMT,Teenage Mutant Ninja Turtles,116,,,,,Flash,flash;lifegain;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Guidelight Matrix,{2},2.0,Artifact,"When this artifact enters, draw a card.
{2}, {T}: Target Mount you control becomes saddled until end of turn. Activate only as a sorcery.
{2}, {T}: Target Vehicle you control becomes an artifact creature until end of turn.",,,common,DFT,Aetherdrift,233,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Guidelight Pathmaker,{4}{W}{U},6.0,Artifact — Vehicle,"Vigilance
When this Vehicle enters, you may search your library for an artifact card and reveal it. Put it onto the battlefield if its mana value is 2 or less. Otherwise, put it into your hand. If you search your library this way, shuffle.
Crew 2","U,W","U,W",uncommon,DFT,Aetherdrift,324,6,5,,,Vigilance;Crew,vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
