name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Larval Scoutlander,{2}{G},3.0,Artifact — Spacecraft,"When this Spacecraft enters, you may sacrifice a land or Lander. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying",G,G,uncommon,EOE,Edge of Eternities,194,3,3,,,Station,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lavaspur Boots,{1},1.0,Artifact — Equipment,"Equipped creature gets +1/+0 and has haste and ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Equip {1}",,,uncommon,OTJ,Outlaws of Thunder Junction,243,,,,,Equip,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Lead Pipe,{B},1.0,Artifact — Clue Equipment,"Equipped creature gets +2/+0.
Whenever equipped creature dies, each opponent loses 1 life.
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}",B,B,uncommon,MKM,Murders at Karlov Manor,90,,,,,Equip,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Legion Extruder,{1}{R},2.0,Artifact,"When this artifact enters, it deals 2 damage to any target.
{2}, {T}, Sacrifice another artifact: Create a 3/3 colorless Golem artifact creature token.",R,R,mythic,BIG,The Big Score,77,,,,,,token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Leyline Axe,{4},4.0,Artifact — Equipment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Equipped creature gets +1/+1 and has double strike and trample.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,FDN,Foundations,414,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lifecraft Engine,{3},3.0,Artifact — Vehicle,"As this Vehicle enters, choose a creature type.
Vehicle creatures you control are the chosen creature type in addition to their other types.
Each creature you control of the chosen type other than this Vehicle gets +1/+1.
Crew 3",,,rare,DFT,Aetherdrift,329,4,4,,,Crew,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lion Heart,{4},4.0,Artifact — Equipment,"When this Equipment enters, it deals 2 damage to any target.
Equipped creature gets +2/+1.
Equip {2}",,,uncommon,FIN,Final Fantasy,261,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Lodestone Needle // Guidestone Compass,,2.0,Artifact // Artifact,,,U,uncommon,LCI,The Lost Caverns of Ixalan,62,,,,,Craft;Transform;Explore;Flash,flash,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Lost Jitte,{1},1.0,Legendary Artifact — Equipment,"Whenever equipped creature deals combat damage, put a charge counter on Lost Jitte.
Remove a charge counter from Lost Jitte: Choose one —
• Untap target land.
• Target creature can't block this turn.
• Put a +1/+1 counter on equipped creature.
Equip {1}",,,mythic,BIG,The Big Score,88,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Lotus Ring,{3},3.0,Artifact — Equipment,"Indestructible
Equipped creature gets +3/+3 and has vigilance and ""{T}, Sacrifice this creature: Add three mana of any one color.""
Equip {3}",,,mythic,BIG,The Big Score,24,,,,"B,G,R,U,W",Indestructible;Equip,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
