name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Sage's Nouliths,{1}{U},2.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+0, has ""Whenever this creature attacks, untap target attacking creature,"" and is a Cleric in addition to its other types.
Hagneia — Equip {3}",U,U,common,FIN,Final Fantasy,70,,,,,Hagneia;Job select;Equip,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,407,6,10,,,Crew,bounce;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Samurai's Katana,{2}{R},3.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2, has trample and haste, and is a Samurai in addition to its other types.
Murasame — Equip {5}",R,R,uncommon,FIN,Final Fantasy,154,,,,,Murasame;Job select;Equip,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Saw,{2},2.0,Artifact — Equipment,"Equipped creature gets +2/+0.
Whenever equipped creature attacks, you may sacrifice a permanent other than that creature or this Equipment. If you do, draw a card.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,uncommon,DSK,Duskmourn: House of Horror,254,,,,,Equip,draw;pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Scene of the Crime,,0.0,Artifact Land — Clue,"This land enters tapped.
{T}: Add {C}.
{T}, Tap an untapped creature you control: Add one mana of any color.
{2}, Sacrifice this land: Draw a card.",,,uncommon,MKM,Murders at Karlov Manor,267,,,,"B,C,G,R,U,W",,draw;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Scrap Compactor,{1},1.0,Artifact,"{3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.
{6}, {T}, Sacrifice this artifact: Destroy target creature or Vehicle.",,,common,DFT,Aetherdrift,242,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Sewer-veillance Cam,{U},1.0,Artifact,"Flash
When this artifact enters or leaves the battlefield, you may tap or untap target creature.
{3}{U}, Sacrifice this artifact: Draw two cards.",U,U,common,TMT,Teenage Mutant Ninja Turtles,53,,,,,Flash,draw;flash,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Short Bow,{2},2.0,Artifact — Equipment,"Equipped creature gets +1/+1 and has vigilance and reach.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,uncommon,BLB,Bloomburrow,248,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Shredder's Armor,{1}{B},2.0,Artifact — Equipment,"Equipped creature gets +2/+1.
When this Equipment enters, attach it to target creature you control.
Equip—Sacrifice another nonland permanent. Activate only once each turn.",B,B,uncommon,TMT,Teenage Mutant Ninja Turtles,75,,,,,Equip,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Sidequest: Card Collection // Magicked Card,,4.0,Enchantment // Artifact — Vehicle,,,U,uncommon,FIN,Final Fantasy,73,,,,,Flying;Transform;Crew,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Sidequest: Play Blitzball // World Champion, Celestial Weapon",,3.0,Enchantment // Legendary Artifact — Equipment,,,R,uncommon,FIN,Final Fantasy,158,,,,,Double Overdrive;Transform;Equip,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Simulacrum Synthesizer,{2}{U},3.0,Artifact,"When this artifact enters, scry 2.
Whenever another artifact you control with mana value 3 or greater enters, create a 0/0 colorless Construct artifact creature token with ""This token gets +1/+1 for each artifact you control.""",U,U,mythic,BIG,The Big Score,36,,,,,Scry,pump;scry;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Sinister Monolith,{3}{B},4.0,Artifact,"At the beginning of combat on your turn, each opponent loses 1 life and you gain 1 life.
{T}, Pay 2 life, Sacrifice this artifact: Draw two cards. Activate only as a sorcery.",B,B,uncommon,BLB,Bloomburrow,113,,,,,,draw;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Skateboard,{1},1.0,Artifact — Equipment,"When this Equipment enters, tap target permanent.
Equipped creature gets +1/+0 and has haste.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,uncommon,TMT,Teenage Mutant Ninja Turtles,178,,,,,Equip,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Skybox Ferry,{5},5.0,Artifact — Vehicle,"Flying
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)
Cycling {2} ({2}, Discard this card: Draw a card.)",,,common,DFT,Aetherdrift,243,4,4,,,Flying;Crew;Cycling,draw;flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Skyseer's Chariot,{1}{W},2.0,Artifact — Vehicle,"Flying
As this Vehicle enters, choose a nonland card name.
Activated abilities of sources with the chosen name cost {2} more to activate.
Crew 2",W,W,rare,DFT,Aetherdrift,432,3,3,,,Flying;Crew,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Sledge-Class Seedship,{2}{G},3.0,Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying
Whenever this Spacecraft attacks, you may put a creature card from your hand onto the battlefield.",G,G,rare,PEOE,Edge of Eternities Promos,208s,4,5,,,Station,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Sorcerous Spyglass,{2},2.0,Artifact,"As this artifact enters, look at an opponent's hand, then choose any card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",,,uncommon,FDN,Foundations,679,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,alchemy,duel"
Soul-Guide Lantern,{1},1.0,Artifact,"When this artifact enters, exile target card from a graveyard.
{T}, Sacrifice this artifact: Exile each opponent's graveyard.
{1}, {T}, Sacrifice this artifact: Draw a card.",,,uncommon,WOE,Wilds of Eldraine,251,,,,,,draw;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Specimen Freighter,{5}{U},6.0,Artifact — Spacecraft,"When this Spacecraft enters, return up to two target non-Spacecraft creatures to their owners' hands.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
9+ | Flying
Whenever this Spacecraft attacks, defending player mills four cards.",U,U,uncommon,EOE,Edge of Eternities,76,4,7,,,Station;Mill,bounce;mill;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Spicy Oatmeal Pizza,{2}{R},3.0,Artifact — Food,"When this artifact enters, it deals 4 damage to any target and 3 damage to you.
{2}, {T}, Sacrifice this artifact: You gain 3 life.",R,R,uncommon,TMT,Teenage Mutant Ninja Turtles,109,,,,,,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Spider-Mobile,{3},3.0,Artifact — Vehicle,"Trample
Whenever this Vehicle attacks or blocks, it gets +1/+1 until end of turn for each Spider you control.
Crew 2",,,uncommon,OM1,Through the Omenpaths,173,3,3,,,Crew;Trample,pump;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Spider-Suit,{1},1.0,Artifact — Equipment,"Equipped creature gets +2/+2 and is a Spider Hero in addition to its other types.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,,uncommon,SPM,Marvel's Spider-Man,176,,,,,Equip,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
