name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
"Aang, at the Crossroads // Aang, Destined Savior",,5.0,Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Ally,,,"G,U,W",rare,PTLA,Avatar: The Last Airbender Promos,203s,,,,,Flying;Transform;Earthbend,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Aang, Swift Savior // Aang and La, Ocean's Fury",,3.0,Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Spirit Ally,,,"U,W",rare,TLA,Avatar: The Last Airbender,347,,,,,Flying;Reach;Airbend;Transform;Trample;Flash;Waterbend,flash;flying;reach;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Aang, the Last Airbender",{3}{W},4.0,Legendary Creature — Human Avatar Ally,"Flying
When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.",W,W,uncommon,TLA,Avatar: The Last Airbender,4,3,2,,,Flying;Airbend,flying;lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Aatchik, Emerald Radian",{3}{B}{B}{G},6.0,Legendary Creature — Insect Druid,"When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard.
Whenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.","B,G","B,G",rare,PDFT,Aetherdrift Promos,187s,3,3,,,,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Aberrant Manawurm,{3}{G},4.0,Creature — Wurm,"Trample
Whenever you cast an instant or sorcery spell, this creature gets +X/+0 until end of turn, where X is the amount of mana spent to cast that spell.",G,G,uncommon,SOS,Secrets of Strixhaven,138,2,5,,,Trample,pump;trample,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Abhorrent Oculus,{2}{U},3.0,Creature — Eye,"As an additional cost to cast this spell, exile six cards from your graveyard.
Flying
At the beginning of each opponent's upkeep, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",U,U,mythic,PDSK,Duskmourn: House of Horror Promos,42p,5,5,,,Flying;Manifest;Manifest dread,flying;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Abigale, Eloquent First-Year",{W/B}{W/B},2.0,Legendary Creature — Bird Bard,"Flying, first strike, lifelink
When Abigale enters, up to one other target creature loses all abilities. Put a flying counter, a first strike counter, and a lifelink counter on that creature.","B,W","B,W",rare,PECL,Lorwyn Eclipsed Promos,204p,1,1,,,Flying;Lifelink;First strike,flying;lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Abigale, Poet Laureate // Heroic Stanza",{1}{W}{B} // {1}{W/B},3.0,Legendary Creature — Bird Bard // Sorcery,,"B,W","B,W",uncommon,SOS,Secrets of Strixhaven,170,2,3,,,Flying;Prepared,flying,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Absolute Virtue,{6}{W}{U},8.0,Legendary Creature — Avatar Warrior,"This spell can't be countered.
Flying
You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)","U,W","U,W",mythic,FIN,Final Fantasy,476,8,8,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Absolving Lammasu,{4}{W},5.0,Creature — Lammasu,"Flying
When this creature enters, all suspected creatures are no longer suspected.
When this creature dies, you gain 3 life and suspect up to one target creature an opponent controls. (A suspected creature has menace and can't block.)",W,W,uncommon,MKM,Murders at Karlov Manor,2,4,3,,,Flying,flying;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Abstract Paintmage,{U}{U/R}{R},3.0,Creature — Djinn Sorcerer,"At the beginning of your first main phase, add {U}{R}. Spend this mana only to cast instant and sorcery spells.","R,U","R,U",uncommon,SOS,Secrets of Strixhaven,171,2,2,,"R,U",,ramp,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Abuelo, Ancestral Echo",{1}{W}{U},3.0,Legendary Creature — Spirit,"Flying, ward {2}
{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.","U,W","U,W",rare,PLCI,The Lost Caverns of Ixalan Promos,219s,2,2,,,Flying;Ward,flying;protection;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
