name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Eager Glyphmage,{3}{W},4.0,Creature — Cat Cleric,"When this creature enters, create a 1/1 white and black Inkling creature token with flying.",W,W,common,SOS,Secrets of Strixhaven,11,3,3,,,,token,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Eager Trufflesnout,{2}{G},3.0,Creature — Boar,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",G,G,uncommon,FDN,Foundations,102,4,2,,,Food;Trample,lifegain;token;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Earth King's Lieutenant,{G}{W},2.0,Creature — Human Soldier Ally,"Trample
When this creature enters, put a +1/+1 counter on each other Ally creature you control.
Whenever another Ally you control enters, put a +1/+1 counter on this creature.","G,W","G,W",rare,PTLA,Avatar: The Last Airbender Promos,217s,1,1,,,Trample,pump;trample;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Earth Kingdom General,{3}{G},4.0,Creature — Human Soldier Ally,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever you put one or more +1/+1 counters on a creature, you may gain that much life. Do this only once each turn.",G,G,uncommon,TLA,Avatar: The Last Airbender,173,2,2,,,Earthbend,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Earth Kingdom Jailer,{2}{W},3.0,Creature — Human Soldier Ally,"When this creature enters, exile up to one target artifact, creature, or enchantment an opponent controls with mana value 3 or greater until this creature leaves the battlefield.",W,W,uncommon,TLA,Avatar: The Last Airbender,16,3,3,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Earth Kingdom Protectors,{W},1.0,Creature — Human Soldier Ally,"Vigilance
Sacrifice this creature: Another target Ally you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,uncommon,TLA,Avatar: The Last Airbender,17,1,1,,,Vigilance,protection;tribal;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Earth Kingdom Soldier,{4}{G/W},5.0,Creature — Human Soldier,"Vigilance
When this creature enters, put a +1/+1 counter on each of up to two target creatures you control.","G,W","G,W",common,TLA,Avatar: The Last Airbender,216,3,4,,,Vigilance,pump;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Earth Rumble Wrestlers,{3}{R/G},4.0,Creature — Human Warrior Performer,"Reach
This creature gets +1/+0 and has trample as long as you control a land creature or a land entered the battlefield under your control this turn.","G,R","G,R",common,TLA,Avatar: The Last Airbender,218,3,4,,,Reach,pump;reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Earth Village Ruffians,{2}{B/G},3.0,Creature — Human Soldier Rogue,"When this creature dies, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)","B,G","B,G",common,TLA,Avatar: The Last Airbender,219,3,1,,,Earthbend,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Earthen Ally,{G},1.0,Creature — Human Soldier Ally,"This creature gets +1/+0 for each color among Allies you control.
{2}{W}{U}{B}{R}{G}: Earthbend 5. (Target land you control becomes a 0/0 creature with haste that's still a land. Put five +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",G,"B,G,R,U,W",rare,PTLA,Avatar: The Last Airbender Promos,177s,0,2,,,Earthbend,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
