name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
G'raha Tia,{4}{W},5.0,Legendary Creature — Cat Archer,"Reach
The Allagan Eye — Whenever one or more other creatures and/or artifacts you control die, draw a card. This ability triggers only once each turn.",W,W,uncommon,FIN,Final Fantasy,21,3,5,,,Reach;The Allagan Eye,draw;reach;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Gadget Technician,{2}{U}{R},4.0,Creature — Goblin Artificer,"When this creature enters or is turned face up, create a 1/1 colorless Thopter artifact creature token with flying.
Disguise {U/R}{U/R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)","R,U","R,U",common,MKM,Murders at Karlov Manor,204,3,2,,,Disguise,protection;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Gaelicat,{2}{W},3.0,Creature — Cat,"Flying, vigilance
As long as you control two or more artifacts, this creature gets +2/+0.",W,W,common,FIN,Final Fantasy,22,1,3,,,Flying;Vigilance,flying;pump;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Gaius van Baelsar,{2}{B}{B},4.0,Legendary Creature — Human Soldier,"When Gaius van Baelsar enters, choose one —
• Each player sacrifices a creature token of their choice.
• Each player sacrifices a nontoken creature of their choice.
• Each player sacrifices an enchantment of their choice.",B,B,uncommon,FIN,Final Fantasy,447,3,2,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Galactic Wayfarer,{2}{G},3.0,Creature — Human Scout,"When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",G,G,common,EOE,Edge of Eternities,185,3,3,,,,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Galewind Moose,{4}{G}{G},6.0,Creature — Elemental Elk,"Flash
Vigilance, reach, trample",G,G,uncommon,BLB,Bloomburrow,173,6,6,,,Reach;Vigilance;Trample;Flash,flash;reach;trample;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Gallant Citizen,{G/W}{G/W},2.0,Creature — Human Citizen,"When this creature enters, draw a card.","G,W","G,W",common,OM1,Through the Omenpaths,137,1,1,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Gallant Fowlknight,{3}{W},4.0,Creature — Kithkin Knight,"When this creature enters, creatures you control get +1/+0 until end of turn. Kithkin creatures you control also gain first strike until end of turn.",W,W,common,ECL,Lorwyn Eclipsed,17,3,4,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Gallant Pie-Wielder,{2}{W},3.0,Creature — Dwarf Knight,"First strike
Celebration — This creature has double strike as long as two or more nonland permanents entered the battlefield under your control this turn.",W,W,uncommon,WOE,Wilds of Eldraine,15,2,3,,,Celebration;First strike,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Galvanic Giant // Storm Reading,{3}{U} // {5}{U}{U},4.0,Creature — Giant Wizard // Instant — Adventure,,U,U,uncommon,WOE,Wilds of Eldraine,52,3,3,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Gangly Stompling,{2}{R/G},3.0,Creature — Shapeshifter,"Changeling (This card is every creature type.)
Trample","G,R","G,R",common,ECL,Lorwyn Eclipsed,226,4,2,,,Trample;Changeling,trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Gargantuan Leech,{7}{B},8.0,Creature — Leech,"This spell costs {1} less to cast for each Cave you control and each Cave card in your graveyard.
Lifelink",B,B,uncommon,LCI,The Lost Caverns of Ixalan,107,5,5,,,Lifelink,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Garland, Knight of Cornelia // Chaos, the Endless",,2.0,Legendary Creature — Human Knight // Legendary Creature — Demon,,,"B,R",uncommon,FIN,Final Fantasy,486,,,,,Flying;Surveil;Transform,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
