name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Haazda Vigilante,{4}{W},5.0,Creature — Giant Soldier,"Whenever this creature enters or attacks, put a +1/+1 counter on target creature you control with power 2 or less.",W,W,common,MKM,Murders at Karlov Manor,18,4,4,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
"Hakoda, Selfless Commander",{3}{W},4.0,Legendary Creature — Human Warrior Ally,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",W,W,rare,TLA,Avatar: The Last Airbender,366,3,5,,,Vigilance,mill;protection;tribal;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Halana and Alena, Partners",{2}{R}{G},4.0,Legendary Creature — Human Ranger,"First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn.","G,R","G,R",rare,DBL,Innistrad: Double Feature,506,2,3,,,Reach;First strike,pump;reach;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Haliya, Ascendant Cadet",{2}{G}{W}{W},5.0,Legendary Creature — Human Soldier,"Whenever Haliya enters or attacks, put a +1/+1 counter on target creature you control.
Whenever one or more creatures you control with +1/+1 counters on them deal combat damage to a player, draw a card.","G,W","G,W",uncommon,EOE,Edge of Eternities,218,3,3,,,,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Haliya, Guided by Light",{2}{W},3.0,Legendary Creature — Human Soldier,"Whenever Haliya or another creature or artifact you control enters, you gain 1 life.
At the beginning of your end step, draw a card if you've gained 3 or more life this turn.
Warp {W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",W,W,rare,PEOE,Edge of Eternities Promos,19s,3,3,,,Warp,draw;lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Hama, the Bloodbender",{2}{U/B}{U/B}{U/B},5.0,Legendary Creature — Human Warlock,"When Hama enters, target opponent mills three cards. Exile up to one noncreature, nonland card from that player's graveyard. For as long as you control Hama, you may cast the exiled card during your turn by waterbending {X} rather than paying its mana cost, where X is its mana value. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)","B,U","B,U",uncommon,TLA,Avatar: The Last Airbender,224,3,3,,,Mill;Waterbend,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hamlet Glutton,{5}{G}{G},7.0,Creature — Giant,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {2} less to cast if it's bargained.
Trample
When this creature enters, you gain 3 life.",G,G,common,WOE,Wilds of Eldraine,173,6,6,,,Trample;Bargain,lifegain;token;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Hand That Feeds,{1}{R},2.0,Creature — Mutant,"Delirium — Whenever this creature attacks while there are four or more card types among cards in your graveyard, it gets +2/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)",R,R,common,DSK,Duskmourn: House of Horror,139,2,2,,,Delirium,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Harbinger of the Tides,{U}{U},2.0,Creature — Merfolk Wizard,"You may cast this spell as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)
When this creature enters, you may return target tapped creature an opponent controls to its owner's hand.",U,U,rare,PORI,Magic Origins Promos,58s,2,2,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hardbristle Bandit,{1}{G},2.0,Creature — Plant Rogue,"{T}: Add one mana of any color.
Whenever you commit a crime, untap this creature. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",G,G,common,OTJ,Outlaws of Thunder Junction,168,1,1,,"B,G,R,U,W",,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
