name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Maalfeld Twins,{5}{B},6.0,Creature — Zombie,"When this creature dies, create two 2/2 black Zombie creature tokens.",B,B,common,GN3,Game Night: Free-for-All,56,4,4,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Mabel, Heir to Cragflame",{1}{R}{W},3.0,Legendary Creature — Mouse Soldier,"Other Mice you control get +1/+1.
When Mabel enters, create Cragflame, a legendary colorless Equipment artifact token with ""Equipped creature gets +1/+1 and has vigilance, trample, and haste"" and equip {2}.","R,W","R,W",rare,BLB,Bloomburrow,336,3,3,,,,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Madame Null, Power Broker",{2}{B},3.0,Legendary Creature — Demon Advisor,"Deathtouch
Whenever another creature you control enters, you may pay life equal to its power. If you do, put that many +1/+1 counters on it.",B,B,rare,TMT,Teenage Mutant Ninja Turtles,66,1,3,,,Deathtouch,deathtouch;pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Madame Web, Clairvoyant",{4}{U}{U},6.0,Legendary Creature — Mutant Advisor,"You may look at the top card of your library any time.
You may cast Spider spells and noncreature spells from the top of your library.
Whenever you attack, you may mill a card. (You may put the top card of your library into your graveyard.)",U,U,uncommon,OM1,Through the Omenpaths,36,4,4,,,Mill,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Maelstrom Artisan // Rocket Volley,{1}{R}{R} // {1}{R},3.0,Creature — Minotaur Sorcerer // Sorcery,,R,R,rare,SOS,Secrets of Strixhaven,122,3,2,,,Haste;Prepared,haste,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Magda, the Hoardmaster",{1}{R},2.0,Legendary Creature — Dwarf Berserker,"Whenever you commit a crime, create a tapped Treasure token. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Sacrifice three Treasures: Create a 4/4 red Scorpion Dragon creature token with flying and haste. Activate only as a sorcery.",R,R,rare,OTJ,Outlaws of Thunder Junction,374,2,2,,,Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Mage Tower Referee,{2},2.0,Artifact Creature — Construct,"Whenever you cast a multicolored spell, put a +1/+1 counter on this creature.",,,common,SOS,Secrets of Strixhaven,249,2,1,,,,pump,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Magebane Lizard,{1}{R},2.0,Creature — Lizard,"Whenever a player casts a noncreature spell, this creature deals damage to that player equal to the number of noncreature spells they've cast this turn.",R,R,uncommon,OTJ,Outlaws of Thunder Junction,134,1,4,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Magic Pot,{3},3.0,Artifact Creature — Goblin Construct,"When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
{2}, {T}: Exile target card from a graveyard.",,,common,FIN,Final Fantasy,263,1,4,,"B,G,R,U,W",Treasure,removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Magitek Infantry,{W},1.0,Artifact Creature — Robot Soldier,"This creature gets +1/+0 as long as you control another artifact.
{2}{W}: Search your library for a card named Magitek Infantry, put it onto the battlefield tapped, then shuffle.",W,W,common,FIN,Final Fantasy,25,1,1,,,,pump;tribal;tutor,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Magmablood Archaic,{2/R}{2/R}{2/R},6.0,Creature — Avatar,"Trample, reach
Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it.
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 until end of turn for each color of mana spent to cast that spell.",R,R,rare,SOS,Secrets of Strixhaven,295,2,2,,,Reach;Converge;Trample,pump;reach;trample;tribal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Magmakin Artillerist,{2}{R},3.0,Creature — Elemental Pirate,"Whenever you discard one or more cards, this creature deals that much damage to each opponent.
Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)
When you cycle this card, it deals 1 damage to each opponent.",R,R,common,DFT,Aetherdrift,137,1,4,,,Cycling,draw;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Magmatic Hellkite,{2}{R}{R},4.0,Creature — Dragon,"Flying
When this creature enters, destroy target nonbasic land an opponent controls. Its controller searches their library for a basic land card, puts it onto the battlefield tapped with a stun counter on it, then shuffles. (If a permanent with a stun counter would become untapped, remove one from it instead.)",R,R,rare,PTDM,Tarkir: Dragonstorm Promos,111s,4,5,,,Flying,flying;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Magnetic Snuffler,{5},5.0,Artifact Creature — Construct,"When this creature enters, return target Equipment card from your graveyard to the battlefield attached to this creature.
Whenever you sacrifice an artifact, put a +1/+1 counter on this creature.",,,uncommon,MKM,Murders at Karlov Manor,254,4,4,,,,bounce;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Magnigoth Sentry,{3}{G},4.0,Creature — Treefolk,Reach (This creature can block creatures with flying.),G,G,common,FDN,Foundations,556,4,4,,,Reach,reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Maha, Its Feathers Night",{3}{B}{B},5.0,Legendary Creature — Elemental Bird,"Flying, trample
Ward—Discard a card.
Creatures your opponents control have base toughness 1.",B,B,mythic,BLB,Bloomburrow,289,6,5,,,Flying;Trample;Ward,flying;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Mai, Jaded Edge",{1}{R},2.0,Legendary Creature — Human Noble,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Exhaust — {3}: Put a double strike counter on Mai. (Activate each exhaust ability only once.)",R,R,uncommon,TLA,Avatar: The Last Airbender,147,1,3,,,Prowess;Exhaust,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Mai, Scornful Striker",{1}{B},2.0,Legendary Creature — Human Noble Ally,"First strike
Whenever a player casts a noncreature spell, they lose 2 life.",B,B,rare,PTLA,Avatar: The Last Airbender Promos,109s,2,2,,,First strike,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Malamet Brawler,{1}{G},2.0,Creature — Cat Warrior,"Whenever this creature attacks, target attacking creature gains trample until end of turn.",G,G,common,LCI,The Lost Caverns of Ixalan,199,2,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Malamet Veteran,{4}{G},5.0,Creature — Cat Warrior,"Trample
Descend 4 — Whenever this creature attacks, if there are four or more permanent cards in your graveyard, put a +1/+1 counter on target creature.",G,G,common,LCI,The Lost Caverns of Ixalan,201,5,4,,,Descend;Trample,pump;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Malamet War Scribe,{3}{W}{W},5.0,Creature — Cat Warrior,"When this creature enters, creatures you control get +2/+1 until end of turn.",W,W,uncommon,LCI,The Lost Caverns of Ixalan,21,4,3,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Malboro,{4}{B}{B},6.0,Creature — Plant Horror,"Bad Breath — When this creature enters, each opponent discards a card, loses 2 life, and exiles the top three cards of their library.
Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",B,B,common,FIN,Final Fantasy,106,4,4,,,Landcycling;Bad Breath;Typecycling;Cycling;Swampcycling,discard,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Malcolm, Alluring Scoundrel",{1}{U},2.0,Legendary Creature — Siren Pirate,"Flash
Flying
Whenever Malcolm deals combat damage to a player, put a chorus counter on it. Draw a card, then discard a card. If there are four or more chorus counters on Malcolm, you may cast the discarded card without paying its mana cost.",U,U,rare,PLCI,The Lost Caverns of Ixalan Promos,63p,2,1,,,Flying;Flash,draw;flash;flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
"Malcolm, the Eyes",{U}{R},2.0,Legendary Creature — Siren Pirate,"Flying, haste
Whenever you cast your second spell each turn, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")","R,U","R,U",rare,OTJ,Outlaws of Thunder Junction,295,2,2,,,Flying;Investigate;Haste,draw;flying;haste;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Malevolent Chandelier,{6},6.0,Artifact Creature — Construct,"Flying
{2}: Put target card from a graveyard on the bottom of its owner's library. Activate only as a sorcery.",,,common,DSK,Duskmourn: House of Horror,252,4,4,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Malevolent Witchkite,{4}{B}{B},6.0,Creature — Dragon Warlock,"Flying
When this creature enters, sacrifice any number of artifacts, enchantments, and/or tokens, then draw that many cards.",B,B,rare,WOE,Wilds of Eldraine,372,5,4,,,Flying,flying;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Manifold Mouse,{1}{R},2.0,Creature — Mouse Soldier,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
At the beginning of combat on your turn, target Mouse you control gains your choice of double strike or trample until end of turn.",R,R,rare,PBLB,Bloomburrow Promos,143p,1,2,,,Offspring,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Maralen, Fae Ascendant",{2}{B}{G}{U},5.0,Legendary Creature — Elf Faerie Noble,"Flying
Whenever Maralen or another Elf or Faerie you control enters, exile the top two cards of target opponent's library.
Once each turn, you may cast a spell with mana value less than or equal to the number of Elves and Faeries you control from among cards exiled with Maralen this turn without paying its mana cost.","B,G,U","B,G,U",rare,ECL,Lorwyn Eclipsed,376,4,5,,,Flying,flying;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Marang River Regent // Coil and Catch,{4}{U}{U} // {3}{U},6.0,Creature — Dragon // Instant — Omen,,U,U,rare,PTDM,Tarkir: Dragonstorm Promos,51p,6,7,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Marauding Blight-Priest,{2}{B},3.0,Creature — Vampire Cleric,"Whenever you gain life, each opponent loses 1 life.",B,B,common,J22,Jumpstart 2022,439,3,2,,,,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Marauding Brinefang,{5}{U}{U},7.0,Creature — Dinosaur,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",U,U,common,LCI,The Lost Caverns of Ixalan,64,6,7,,,Islandcycling;Landcycling;Ward;Typecycling;Cycling,protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Marauding Mako,{R},1.0,Creature — Shark Pirate,"Whenever you discard one or more cards, put that many +1/+1 counters on this creature.
Cycling {2} ({2}, Discard this card: Draw a card.)",R,R,uncommon,DFT,Aetherdrift,419,1,1,,,Cycling,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Marauding Sphinx,{3}{U}{U},5.0,Creature — Sphinx Rogue,"Flying, vigilance, ward {2}
Whenever you commit a crime, surveil 2. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",U,U,uncommon,OTJ,Outlaws of Thunder Junction,56,3,5,,,Flying;Surveil;Vigilance;Ward,flying;protection;surveil;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
"Marchesa, Dealer of Death",{U}{B}{R},3.0,Legendary Creature — Human Rogue,"Whenever you commit a crime, you may pay {1}. If you do, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)","B,R,U","B,R,U",rare,POTJ,Outlaws of Thunder Junction Promos,220p,3,4,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Mardu Devotee,{W},1.0,Creature — Human Scout,"When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
{1}: Add {R}, {W}, or {B}. Activate only once each turn.",W,"B,R,W",common,TDM,Tarkir: Dragonstorm,16,1,2,,"B,R,W",Scry,ramp;scry,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Mardu Siegebreaker,{1}{R}{W}{B},4.0,Creature — Human Warrior,"Deathtouch, haste
When this creature enters, exile up to one other target creature you control until this creature leaves the battlefield.
Whenever this creature attacks, for each opponent, create a tapped token that's a copy of the exiled card attacking that opponent. At the beginning of your next end step, sacrifice those tokens.","B,R,W","B,R,W",rare,TDM,Tarkir: Dragonstorm,206,4,4,,,Haste;Deathtouch,deathtouch;haste;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Marina Vendrell,{W}{U}{B}{R}{G},5.0,Legendary Creature — Human Warlock,"When Marina Vendrell enters, reveal the top seven cards of your library. Put all enchantment cards from among them into your hand and the rest on the bottom of your library in a random order.
{T}: Lock or unlock a door of target Room you control. Activate only as a sorcery.","B,G,R,U,W","B,G,R,U,W",rare,PDSK,Duskmourn: House of Horror Promos,221s,3,5,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Market Gnome,{W},1.0,Artifact Creature — Gnome,"When this creature dies, you gain 1 life and draw a card.
When this creature is exiled from the battlefield while you're activating a craft ability, you gain 1 life and draw a card.",W,W,uncommon,LCI,The Lost Caverns of Ixalan,22,0,3,,,,draw;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Marketback Walker,{X}{X},0.0,Artifact Creature — Construct,"This creature enters with X +1/+1 counters on it.
{4}: Put a +1/+1 counter on this creature.
When this creature dies, draw a card for each +1/+1 counter on it.",,,rare,DFT,Aetherdrift,498,0,0,,,,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Marketwatch Phantom,{1}{W},2.0,Creature — Spirit Detective,"Whenever another creature you control with power 2 or less enters, this creature gains flying until end of turn.",W,W,common,MKM,Murders at Karlov Manor,24,2,2,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Marshal of the Lost,{2}{W}{B},4.0,Creature — Orc Warrior,"Deathtouch
Whenever you attack, target creature gets +X/+X until end of turn, where X is the number of attacking creatures.","B,W","B,W",uncommon,TDM,Tarkir: Dragonstorm,207,3,3,,,Deathtouch,deathtouch;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Marvin, Murderous Mimic",{2},2.0,Legendary Artifact Creature — Toy,Marvin has all activated abilities of creatures you control that don't have the same name as this creature.,,,rare,PDSK,Duskmourn: House of Horror Promos,253s,2,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Mary Jane Watson,{1}{G/W},2.0,Legendary Creature — Human Performer,"Whenever a Spider you control enters, draw a card. This ability triggers only once each turn.","G,W","G,W",rare,SPM,Marvel's Spider-Man,134,2,2,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Masked Meower,{R},1.0,Creature — Spider Cat Hero,"Haste
Discard a card, Sacrifice this creature: Draw a card.",R,R,common,SPM,Marvel's Spider-Man,82,1,1,,,Haste,draw;haste,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Massacre Girl, Known Killer",{2}{B}{B},4.0,Legendary Creature — Human Assassin,"Menace
Creatures you control have wither. (They deal damage to creatures in the form of -1/-1 counters.)
Whenever a creature an opponent controls dies, if its toughness was less than 1, draw a card.",B,B,mythic,PMKM,Murders at Karlov Manor Promos,94s,4,4,,,Menace,draw;menace;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Massacre Wurm,{3}{B}{B}{B},6.0,Creature — Phyrexian Wurm,"When this creature enters, creatures your opponents control get -2/-2 until end of turn.
Whenever a creature an opponent controls dies, that player loses 2 life.",B,B,mythic,PM21,Core Set 2021 Promos,114s,6,5,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Master Pakku,{1}{U},2.0,Legendary Creature — Human Advisor Ally,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever Master Pakku becomes tapped, target player mills X cards, where X is the number of Lesson cards in your graveyard. (They put the top X cards of their library into their graveyard.)",U,U,uncommon,TLA,Avatar: The Last Airbender,63,1,3,,,Prowess;Mill,mill;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Master Piandao,{4}{W},5.0,Legendary Creature — Human Warrior Ally,"First strike
Whenever Master Piandao attacks, look at the top four cards of your library. You may reveal an Ally, Equipment, or Lesson card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",W,W,uncommon,TLA,Avatar: The Last Airbender,28,4,4,,,First strike,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Matoya, Archon Elder",{2}{U},3.0,Legendary Creature — Human Warlock,"Whenever you scry or surveil, draw a card. (Draw after you scry or surveil.)",U,U,rare,FIN,Final Fantasy,439,1,4,,,,draw;scry,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
