name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Oaken Siren,{1}{U},2.0,Artifact Creature — Siren Pirate,"Flying, vigilance
{T}: Add {U}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.",U,U,common,LCI,The Lost Caverns of Ixalan,66,1,2,,U,Flying;Vigilance,flying;ramp;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Oasis Gardener,{3},3.0,Artifact Creature — Scarecrow,"When this creature enters, you gain 2 life.
{T}: Add one mana of any color.",,,common,OTJ,Outlaws of Thunder Junction,246,2,2,,"B,G,R,U,W",,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
"Obeka, Splitter of Seconds",{1}{U}{B}{R},4.0,Legendary Creature — Ogre Warlock,"Menace
Whenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.","B,R,U","B,R,U",rare,OTJ,Outlaws of Thunder Junction,222,2,5,,,Menace,menace,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Oblivious Bookworm,{G}{U},2.0,Creature — Human Wizard,"At the beginning of your end step, you may draw a card. If you do, discard a card unless a permanent entered the battlefield face down under your control this turn or you turned a permanent face up this turn.","G,U","G,U",uncommon,DSK,Duskmourn: House of Horror,300,2,3,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Obyra's Attendants // Desperate Parry,{4}{U} // {1}{U},5.0,Creature — Faerie Wizard // Instant — Adventure,,U,U,common,WOE,Wilds of Eldraine,63,3,4,,,Flying,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
"Obyra, Dreaming Duelist",{U}{B},2.0,Legendary Creature — Faerie Warrior,"Flash
Flying
Whenever another Faerie you control enters, each opponent loses 1 life.","B,U","B,U",uncommon,WOE,Wilds of Eldraine,210,2,2,,,Flying;Flash,flash;flying;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Offender at Large,{4}{R},5.0,Creature — Giant Rogue,"Disguise {4}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature enters or is turned face up, up to one target creature gets +2/+0 until end of turn.",R,R,common,MKM,Murders at Karlov Manor,138,5,4,,,Disguise,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Ogre Chitterlord,{4}{R}{R},6.0,Creature — Ogre Warrior,"Menace
Whenever this creature enters or attacks, create two 1/1 black Rat creature tokens with ""This token can't block."" Then if you control five or more Rats, each Rat you control gets +2/+0 until end of turn.",R,R,rare,WOE,Wilds of Eldraine,319,6,5,,,Menace,menace;pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Oildeep Gearhulk,{U}{U}{B}{B},4.0,Artifact Creature — Construct,"Lifelink, ward {1}
When this creature enters, look at target player's hand. You may choose a card from it. If you do, that player discards that card, then draws a card.","B,U","B,U",mythic,DFT,Aetherdrift,351,4,4,,,Lifelink;Ward,lifegain;protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ojer Axonil, Deepest Might // Temple of Power",,4.0,Legendary Creature — God // Land,,,R,mythic,LCI,The Lost Caverns of Ixalan,158,,,,R,Transform;Trample,trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
