name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Qarsi Revenant,{1}{B}{B},3.0,Creature — Vampire,"Flying, deathtouch, lifelink
Renew — {2}{B}, Exile this card from your graveyard: Put a flying counter, a deathtouch counter, and a lifelink counter on target creature. Activate only as a sorcery.",B,B,rare,TDM,Tarkir: Dragonstorm,426,3,3,,,Deathtouch;Flying;Lifelink;Renew,deathtouch;flying;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Qiqirn Merchant,{2}{U},3.0,Creature — Beast Citizen,"{1}, {T}: Draw a card, then discard a card.
{7}, {T}, Sacrifice this creature: Draw three cards. This ability costs {1} less to activate for each Town you control.",U,U,common,FIN,Final Fantasy,65,1,4,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Quakestrider Ceratops,{3}{G}{G}{G},6.0,Creature — Dinosaur,,G,G,uncommon,FDN,Foundations,110,12,8,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Quaketusk Boar,{3}{R}{R},5.0,Creature — Elemental Boar,"Reach, trample, haste",R,R,uncommon,BLB,Bloomburrow,146,5,5,,,Reach;Haste;Trample,haste;reach;trample,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Quandrix, the Proof",{4}{G}{U},6.0,Legendary Creature — Elder Dragon,"Flying, trample
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)
Instant and sorcery spells you cast from your hand have cascade.","G,U","G,U",mythic,SOS,Secrets of Strixhaven,218,6,6,,,Cascade;Flying;Trample,flying;mill;trample,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Quantum Riddler,{3}{U}{U},5.0,Creature — Sphinx,"Flying
When this creature enters, draw a card.
As long as you have one or fewer cards in hand, if you would draw one or more cards, you draw that many cards plus one instead.
Warp {1}{U}",U,U,mythic,EOE,Edge of Eternities,72,4,6,,,Flying;Warp,draw;flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Queen Brahne,{2}{R},3.0,Legendary Creature — Human Noble,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever Queen Brahne attacks, create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent.""",R,R,uncommon,FIN,Final Fantasy,464,2,1,,,Prowess,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Queen's Bay Paladin,{3}{B}{B},5.0,Creature — Vampire Knight,"Whenever this creature enters or attacks, return up to one target Vampire card from your graveyard to the battlefield with a finality counter on it. You lose life equal to its mana value. (If a creature with a finality counter on it would die, exile it instead.)",B,B,rare,PLCI,The Lost Caverns of Ixalan Promos,115s,5,4,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Questing Druid // Seek the Beast,{1}{G} // {1}{R},2.0,Creature — Human Druid // Instant — Adventure,,G,"G,R",rare,PWOE,Wilds of Eldraine Promos,234s,1,1,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Quill-Blade Laureate // Twofold Intent,{1}{W} // {1}{W},2.0,Creature — Human Cleric // Sorcery,,W,W,uncommon,SOS,Secrets of Strixhaven,27,1,1,,,Prepared;Double strike,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
