name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Rabaroo Troop,{3}{W}{W},5.0,Creature — Rabbit Kangaroo,"Landfall — Whenever a land you control enters, this creature gains flying until end of turn and you gain 1 life.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",W,W,common,TLA,Avatar: The Last Airbender,32,3,5,,,Plainscycling;Landcycling;Typecycling;Cycling;Landfall,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Raccoon Rallier,{1}{R},2.0,Creature — Raccoon Bard,{T}: Target creature you control gains haste until end of turn. Activate only as a sorcery.,R,R,common,BLB,Bloomburrow,148,2,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Radioactive Spider,{G},1.0,Creature — Spider,"Reach, deathtouch
Fateful Bite — {2}, Sacrifice this creature: Search your library for a Spider Hero card, reveal it, put it into your hand, then shuffle. Activate only as a sorcery.",G,G,rare,SPM,Marvel's Spider-Man,285,1,1,,,Reach;Deathtouch,deathtouch;reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Ragamuffin Raptor,{4}{G},5.0,Creature — Dinosaur,"When this creature enters, return up to one target creature or Food card from your graveyard to your hand.",G,G,common,TMT,Teenage Mutant Ninja Turtles,130,4,3,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Ragged Playmate,{1}{R},2.0,Artifact Creature — Toy,"{1}, {T}: Target creature with power 2 or less can't be blocked this turn.",R,R,common,DSK,Duskmourn: House of Horror,150,2,2,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Raging Battle Mouse,{1}{R},2.0,Creature — Mouse,"The second spell you cast each turn costs {1} less to cast.
Celebration — At the beginning of combat on your turn, if two or more nonland permanents entered the battlefield under your control this turn, target creature you control gets +1/+1 until end of turn.",R,R,rare,PWOE,Wilds of Eldraine Promos,143s,2,1,,,Celebration,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Raging Goblinoids,{4}{R},5.0,Creature — Goblin Berserker Villain,"Haste
Mayhem {2}{R} (You may cast this card from your graveyard for {2}{R} if you discarded it this turn. Timing rules still apply.)",R,R,uncommon,OM1,Through the Omenpaths,86,5,4,,,Mayhem;Haste,haste,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Raging Redcap,{2}{R},3.0,Creature — Goblin Knight,Double strike (This creature deals both first-strike and regular combat damage.),R,R,common,FDN,Foundations,543,1,2,,,Double strike,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Ragnarok, Divine Deliverance",,7.0,Legendary Creature — Beast Avatar,"Vigilance, menace, trample, reach, haste
When Ragnarok dies, destroy target permanent and return target nonlegendary permanent card from your graveyard to the battlefield.","B,G","B,G",uncommon,FIN,Final Fantasy,99b,7,6,,,Reach;Vigilance;Haste;Trample;Menace,bounce;haste;menace;reach;removal;trample;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ragost, Deft Gastronaut",{R}{W},2.0,Legendary Creature — Lobster Citizen,"Artifacts you control are Foods in addition to their other types and have ""{2}, {T}, Sacrifice this artifact: You gain 3 life.""
{1}, {T}, Sacrifice a Food: Ragost deals 3 damage to each opponent.
At the beginning of each end step, if you gained life this turn, untap Ragost.","R,W","R,W",rare,EOE,Edge of Eternities,224,2,2,,,,lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
