name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Stalactite Stalker,{B},1.0,Creature — Goblin Rogue,"Menace
At the beginning of your end step, if you descended this turn, put a +1/+1 counter on this creature. (You descended if a permanent card was put into your graveyard from anywhere.)
{2}{B}, Sacrifice this creature: Target creature gets -X/-X until end of turn, where X is this creature's power.",B,B,rare,PLCI,The Lost Caverns of Ixalan Promos,122p,1,1,,,Menace,menace;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Stalked Researcher,{1}{U},2.0,Creature — Human Wizard,"Defender
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature can attack this turn as though it didn't have defender.",U,U,common,DSK,Duskmourn: House of Horror,73,3,3,,,Defender;Eerie,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Stalwart Successor,{1}{B}{G},3.0,Creature — Human Warrior,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever one or more counters are put on a creature you control, if it's the first time counters have been put on that creature this turn, put a +1/+1 counter on that creature.","B,G","B,G",uncommon,TDM,Tarkir: Dragonstorm,227,3,2,,,Menace,menace;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Stampeding Scurryfoot,{G},1.0,Creature — Mouse,Exhaust — {3}{G}: Put a +1/+1 counter on this creature. Create a 3/3 green Elephant creature token. (Activate each exhaust ability only once.),G,G,common,DFT,Aetherdrift,181,1,1,,,Exhaust,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Star Charter,{3}{W},4.0,Creature — Bat Cleric,"Flying
At the beginning of your end step, if you gained or lost life this turn, look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",W,W,uncommon,BLB,Bloomburrow,33,3,1,,,Flying,flying;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Starbreach Whale,{4}{U},5.0,Creature — Whale,"Flying
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,common,EOE,Edge of Eternities,77,3,5,,,Flying;Surveil;Warp,flying;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Starfield Shepherd,{3}{W}{W},5.0,Creature — Angel,"Flying
When this creature enters, search your library for a basic Plains card or a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",W,W,uncommon,EOE,Edge of Eternities,37,3,2,,,Flying;Warp,flying,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,rare,PEOE,Edge of Eternities Promos,78s,3,4,,,Warp,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Starfighter Pilot,{1}{W},2.0,Creature — Human Pilot,"Whenever this creature becomes tapped, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",W,W,common,EOE,Edge of Eternities,38,2,2,,,Surveil,surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Starling, Aerial Ally",{4}{W},5.0,Legendary Creature — Human Hero,"Flying
When Starling enters, another target creature you control gains flying until end of turn.",W,W,common,OM1,Through the Omenpaths,10,3,4,,,Flying,flying;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Starlit Soothsayer,{2}{B},3.0,Creature — Bat Cleric,"Flying
At the beginning of your end step, if you gained or lost life this turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",B,B,common,BLB,Bloomburrow,115,2,2,,,Flying;Surveil,flying;lifegain;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Starport Security,{W},1.0,Artifact Creature — Robot Soldier,"{3}{W}, {T}: Tap another target creature. This ability costs {2} less to activate if you control a creature with a +1/+1 counter on it.",W,W,common,EOE,Edge of Eternities,39,1,1,,,,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Starry-Eyed Skyrider,{2}{W},3.0,Creature — Human Scout,"Flying
Whenever this creature attacks, another target creature you control gains flying until end of turn.
Attacking tokens you control have flying.",W,W,uncommon,TDM,Tarkir: Dragonstorm,25,1,3,,,Flying,flying;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Starscape Cleric,{1}{B},2.0,Creature — Bat Cleric,"Offspring {2}{B} (You may pay an additional {2}{B} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
This creature can't block.
Whenever you gain life, each opponent loses 1 life.",B,B,uncommon,BLB,Bloomburrow,116,2,1,,,Flying;Offspring,flying;lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Starseer Mentor,{3}{W}{B},5.0,Creature — Bat Warlock,"Flying, vigilance
At the beginning of your end step, if you gained or lost life this turn, target opponent loses 3 life unless they sacrifice a nonland permanent of their choice or discard a card.","B,W","B,W",uncommon,BLB,Bloomburrow,233,3,5,,,Flying;Vigilance,flying;lifegain;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Startled Relic Sloth,{2}{R}{W},4.0,Creature — Sloth Beast,"Trample, lifelink
At the beginning of combat on your turn, exile up to one target card from a graveyard.","R,W","R,W",uncommon,SOS,Secrets of Strixhaven,233,4,4,,,Lifelink;Trample,lifegain;trample,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Starving Revenant,{2}{B}{B},4.0,Creature — Spirit Horror,"When this creature enters, surveil 2. Then for each card you put on top of your library, you draw a card and you lose 3 life.
Descend 8 — Whenever you draw a card, if there are eight or more permanent cards in your graveyard, target opponent loses 1 life and you gain 1 life.",B,B,rare,LCI,The Lost Caverns of Ixalan,338,4,4,,,Surveil;Descend,draw;lifegain;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Starwinder,{5}{U}{U},7.0,Creature — Leviathan,"Whenever a creature you control deals combat damage to a player, you may draw that many cards.
Warp {2}{U}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,rare,EOE,Edge of Eternities,79,7,7,,,Warp,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
