name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Walking Sarcophagus,{2},2.0,Artifact Creature — Zombie Cat,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Max speed — This creature gets +1/+2.",,,common,DFT,Aetherdrift,246,2,1,,,Max speed;Start your engines!,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Walltop Sentries,{2}{G},3.0,Creature — Human Soldier Ally,"Reach, deathtouch
When this creature dies, if there's a Lesson card in your graveyard, you gain 2 life.",G,G,common,TLA,Avatar: The Last Airbender,202,2,3,,,Reach;Deathtouch,deathtouch;lifegain;reach,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
"Wan Shi Tong, Librarian",{X}{U}{U},2.0,Legendary Creature — Bird Spirit,"Flash
Flying, vigilance
When Wan Shi Tong enters, put X +1/+1 counters on him. Then draw half X cards, rounded down.
Whenever an opponent searches their library, put a +1/+1 counter on Wan Shi Tong and draw a card.",U,U,mythic,PTLA,Avatar: The Last Airbender Promos,78s,1,1,,,Flying;Vigilance;Flash,draw;flash;flying;pump;vigilance,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Wanderbrine Preacher,{1}{W},2.0,Creature — Merfolk Cleric,"Whenever this creature becomes tapped, you gain 2 life.",W,W,common,ECL,Lorwyn Eclipsed,41,2,2,,,,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Wanderbrine Trapper,{W},1.0,Creature — Merfolk Scout,"{1}, {T}, Tap another untapped creature you control: Tap target creature an opponent controls.",W,W,uncommon,ECL,Lorwyn Eclipsed,42,2,1,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Wandering Musicians,{3}{R/W},4.0,Creature — Human Bard Ally,"Whenever this creature attacks, creatures you control get +1/+0 until end of turn.","R,W","R,W",common,TLA,Avatar: The Last Airbender,250,2,5,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Wandertale Mentor,{R}{G},2.0,Creature — Raccoon Bard,"Whenever you expend 4, put a +1/+1 counter on this creature. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)
{T}: Add {R} or {G}.","G,R","G,R",uncommon,BLB,Bloomburrow,240,2,2,,"G,R",,pump;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Wanderwine Distracter,{3}{U},4.0,Creature — Merfolk Wizard,"Whenever this creature becomes tapped, target creature an opponent controls gets -3/-0 until end of turn.",U,U,common,ECL,Lorwyn Eclipsed,82,4,3,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Wanted Griffin,{3}{W},4.0,Creature — Griffin,"Flying
When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",W,W,common,OTJ,Outlaws of Thunder Junction,38,3,2,,,Flying,flying;pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Warden of the Grove,{2}{G},3.0,Creature — Hydra,"At the beginning of your end step, put a +1/+1 counter on this creature.
Whenever another nontoken creature you control enters, it endures X, where X is the number of counters on this creature. (Put X +1/+1 counters on the creature that entered or create an X/X white Spirit creature token.)",G,G,rare,TDM,Tarkir: Dragonstorm,166,2,2,,,Endure,pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
