name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Call the Spirit Dragons,{W}{U}{B}{R}{G},5.0,Enchantment,"Dragons you control have indestructible.
At the beginning of your upkeep, for each color, put a +1/+1 counter on a Dragon you control of that color. If you put +1/+1 counters on five Dragons this way, you win the game.","B,G,R,U,W","B,G,R,U,W",mythic,PTDM,Tarkir: Dragonstorm Promos,174s,,,,,,protection;pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Canonized in Blood,{1}{B},2.0,Enchantment,"At the beginning of your end step, if you descended this turn, put a +1/+1 counter on target creature you control. (You descended if a permanent card was put into your graveyard from anywhere.)
{5}{B}{B}, Sacrifice this enchantment: Create a 4/3 white and black Vampire Demon creature token with flying.",B,B,uncommon,LCI,The Lost Caverns of Ixalan,96,,,,,,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Caretaker's Talent,{2}{W},3.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.
{W}: Level 2
When this Class becomes level 2, create a token that's a copy of target token you control.
{3}{W}: Level 3
Creature tokens you control get +2/+2.",W,W,rare,PBLB,Bloomburrow Promos,6p,,,,,,draw;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Case of the Burning Masks,{1}{R}{R},3.0,Enchantment — Case,"When this Case enters, it deals 3 damage to target creature an opponent controls.
To solve — Three or more sources you controlled dealt damage this turn. (If unsolved, solve at the beginning of your end step.)
Solved — Sacrifice this Case: Exile the top three cards of your library. Choose one of them. You may play that card this turn.",R,R,uncommon,MKM,Murders at Karlov Manor,113,,,,,Solved,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Crimson Pulse,{2}{R},3.0,Enchantment — Case,"When this Case enters, discard a card, then draw two cards.
To solve — You have no cards in hand. (If unsolved, solve at the beginning of your end step.)
Solved — At the beginning of your upkeep, discard your hand, then draw two cards.",R,R,rare,PMKM,Murders at Karlov Manor Promos,114p,,,,,Solved,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Filched Falcon,{U},1.0,Enchantment — Case,"When this Case enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
To solve — You control three or more artifacts. (If unsolved, solve at the beginning of your end step.)
Solved — {2}{U}, Sacrifice this Case: Put four +1/+1 counters on target noncreature artifact. It becomes a 0/0 Bird creature with flying in addition to its other types.",U,U,uncommon,MKM,Murders at Karlov Manor,44,,,,,Investigate;Solved,draw;pump;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Gateway Express,{1}{W},2.0,Enchantment — Case,"When this Case enters, choose target creature you don't control. Each creature you control deals 1 damage to that creature.
To solve — Three or more creatures attacked this turn. (If unsolved, solve at the beginning of your end step.)
Solved — Creatures you control get +1/+0.",W,W,uncommon,MKM,Murders at Karlov Manor,8,,,,,Solved,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Gorgon's Kiss,{B},1.0,Enchantment — Case,"When this Case enters, destroy up to one target creature that was dealt damage this turn.
To solve — Three or more creature cards were put into graveyards from anywhere this turn. (If unsolved, solve at the beginning of your end step.)
Solved — This Case is a 4/4 Gorgon creature with deathtouch and lifelink in addition to its other types.",B,B,uncommon,MKM,Murders at Karlov Manor,79†,,,,,Solved,lifegain;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Locked Hothouse,{3}{G},4.0,Enchantment — Case,"You may play an additional land on each of your turns.
To solve — You control seven or more lands. (If unsolved, solve at the beginning of your end step.)
Solved — You may look at the top card of your library any time, and you may play lands and cast creature and enchantment spells from the top of your library.",G,G,rare,MKM,Murders at Karlov Manor,155,,,,,Solved,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Pilfered Proof,{1}{W},2.0,Enchantment — Case,"Whenever a Detective you control enters or is turned face up, put a +1/+1 counter on it.
To solve — You control three or more Detectives. (If unsolved, solve at the beginning of your end step.)
Solved — If one or more tokens would be created under your control, those tokens plus a Clue token are created instead. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",W,W,uncommon,MKM,Murders at Karlov Manor,9,,,,,Solved,draw;pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Ransacked Lab,{2}{U},3.0,Enchantment — Case,"Instant and sorcery spells you cast cost {1} less to cast.
To solve — You've cast four or more instant and sorcery spells this turn. (If unsolved, solve at the beginning of your end step.)
Solved — Whenever you cast an instant or sorcery spell, draw a card.",U,U,rare,MKM,Murders at Karlov Manor,45,,,,,Solved,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Shattered Pact,{2},2.0,Enchantment — Case,"When this Case enters, search your library for a basic land card, reveal it, put it into your hand, then shuffle.
To solve — There are five colors among permanents you control. (If unsolved, solve at the beginning of your end step.)
Solved — At the beginning of combat on your turn, target creature you control gains flying, double strike, and vigilance until end of turn.",,,uncommon,MKM,Murders at Karlov Manor,1,,,,,Solved;Double strike,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Stashed Skeleton,{1}{B},2.0,Enchantment — Case,"When this Case enters, create a 2/1 black Skeleton creature token and suspect it. (It has menace and can't block.)
To solve — You control no suspected Skeletons. (If unsolved, solve at the beginning of your end step.)
Solved — {1}{B}, Sacrifice this Case: Search your library for a card, put it into your hand, then shuffle. Activate only as a sorcery.",B,B,rare,PMKM,Murders at Karlov Manor Promos,80p,,,,,Solved;Suspect,token;tutor,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Trampled Garden,{2}{G},3.0,Enchantment — Case,"When this Case enters, distribute two +1/+1 counters among one or two target creatures you control.
To solve — Creatures you control have total power 8 or greater. (If unsolved, solve at the beginning of your end step.)
Solved — Whenever you attack, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.",G,G,uncommon,MKM,Murders at Karlov Manor,156,,,,,Solved,pump;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Case of the Uneaten Feast,{W},1.0,Enchantment — Case,"Whenever a creature you control enters, you gain 1 life.
To solve — You've gained 5 or more life this turn. (If unsolved, solve at the beginning of your end step.)
Solved — Sacrifice this Case: Creature cards in your graveyard gain ""You may cast this card from your graveyard"" until end of turn.",W,W,rare,PMKM,Murders at Karlov Manor Promos,10s,,,,,Solved,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Central Elevator // Promising Stairs,{3}{U} // {2}{U},7.0,Enchantment — Room // Enchantment — Room,,U,U,rare,PDSK,Duskmourn: House of Horror Promos,44s,,,,,Surveil,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Chalk Outline,{3}{G},4.0,Enchantment,"Whenever one or more creature cards leave your graveyard, create a 2/2 white and blue Detective creature token, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",G,G,uncommon,MKM,Murders at Karlov Manor,157,,,,,Investigate,draw;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Charmed Sleep,{1}{U}{U},3.0,Enchantment — Aura,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",U,U,common,HBG,Alchemy Horizons: Baldur's Gate,112,,,,,Enchant,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
