name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,,W,W,rare,PDSK,Duskmourn: House of Horror Promos,3s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,PLST,The List,GRN-67,,,,,Enchant,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Deeproot Pilgrimage,{1}{U},2.0,Enchantment,"Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.",U,U,rare,PLCI,The Lost Caverns of Ixalan Promos,52p,,,,,,protection;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Defiled Crypt // Cadaver Lab,{3}{B} // {B},5.0,Enchantment — Room // Enchantment — Room,,B,B,uncommon,DSK,Duskmourn: House of Horror,91,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Demonic Pact,{2}{B}{B},4.0,Enchantment,"At the beginning of your upkeep, choose one that hasn't been chosen —
• This enchantment deals 4 damage to any target and you gain 4 life.
• Target opponent discards two cards.
• Draw two cards.
• You lose the game.",B,B,mythic,FDN,Foundations,602,,,,,,discard;draw;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Demonic Ruckus,{1}{R},2.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 and has menace and trample.
When this Aura is put into a graveyard from the battlefield, draw a card.
Plot {R} (You may pay {R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",R,R,uncommon,OTJ,Outlaws of Thunder Junction,120,,,,,Plot;Enchant,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Derelict Attic // Widow's Walk,{2}{B} // {3}{B},7.0,Enchantment — Room // Enchantment — Room,,B,B,common,DSK,Duskmourn: House of Horror,93,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Dictate of Kruphix,{1}{U}{U},3.0,Enchantment,"Flash (You may cast this spell any time you could cast an instant.)
At the beginning of each player's draw step, that player draws an additional card.",U,U,rare,PRM,Magic Online Promos,52326,,,,,Flash,flash,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Dimensional Exile,{1}{W},2.0,Enchantment — Aura,"Enchant basic land you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.",W,W,uncommon,TMT,Teenage Mutant Ninja Turtles,4,,,,,Enchant,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Disturbing Mirth,{B}{R},2.0,Enchantment,"When this enchantment enters, you may sacrifice another enchantment or creature. If you do, draw two cards.
When you sacrifice this enchantment, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)","B,R","B,R",uncommon,DSK,Duskmourn: House of Horror,212,,,,,Manifest;Manifest dread,draw;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
