name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Raiding Schemes,{3}{R}{G},5.0,Enchantment,"Each noncreature spell you cast has conspire. (As you cast a noncreature spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose new targets for the copy. A copy of a permanent spell becomes a token.)","G,R","G,R",rare,ECL,Lorwyn Eclipsed,239,,,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rakdos Joins Up,{3}{B}{R},5.0,Legendary Enchantment,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.","B,R","B,R",rare,POTJ,Outlaws of Thunder Junction Promos,225s,,,,,,bounce;pump;reanimation,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Rakish Crew,{2}{B},3.0,Enchantment,"When this enchantment enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Whenever an outlaw you control dies, each opponent loses 1 life and you gain 1 life. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",B,B,uncommon,OTJ,Outlaws of Thunder Junction,99,,,,,,lifegain;pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Reach for the Sky,{3}{G},4.0,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature gets +3/+2 and has reach.
When this Aura is put into a graveyard from the battlefield, draw a card.",G,G,common,OTJ,Outlaws of Thunder Junction,178,,,,,Enchant;Flash,draw;flash;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Rediscover the Way,{U}{R}{W},3.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
III — Whenever you cast a noncreature spell this turn, target creature you control gains double strike until end of turn.","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,215s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rent Is Due,{W},1.0,Enchantment,"At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.",W,W,rare,SPM,Marvel's Spider-Man,11,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rest in Peace,{1}{W},2.0,Enchantment,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",W,W,rare,PRM,Magic Online Promos,77943,,,,,,token;wipe,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Restricted Office // Lecture Hall,{2}{W}{W} // {5}{U}{U},11.0,Enchantment — Room // Enchantment — Room,,"U,W","U,W",rare,PDSK,Duskmourn: House of Horror Promos,227p,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Retro-Mutation,{2}{U},3.0,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature is a Turtle with base power and toughness 0/1. It can't attack and loses all abilities. (It also loses all other creature types.)",U,U,common,TMT,Teenage Mutant Ninja Turtles,51,,,,,Enchant;Flash,flash;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Reverberating Summons,{1}{R},2.0,Enchantment,"At the beginning of each combat, if you've cast two or more spells this turn, this enchantment becomes a 3/3 Monk creature with haste in addition to its other types until end of turn.
{1}{R}, Discard your hand, Sacrifice this enchantment: Draw two cards.",R,R,uncommon,TDM,Tarkir: Dragonstorm,117,,,,,,draw;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
