name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Walk-In Closet // Forgotten Cellar,{2}{G} // {3}{G}{G},8.0,Enchantment — Room // Enchantment — Room,,G,G,mythic,DSK,Duskmourn: House of Horror,205,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Wall Crawl,{3}{G},4.0,Enchantment,"When this enchantment enters, create a 2/1 green Spider creature token with reach, then you gain 1 life for each Spider you control.
Spiders you control get +1/+1 and can't be blocked by creatures with defender.",G,G,uncommon,SPM,Marvel's Spider-Man,121,,,,,,lifegain;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
War Effort,{3}{R},4.0,Enchantment,"Creatures you control get +1/+0.
Whenever you attack, create a 1/1 red Warrior creature token that's tapped and attacking. Sacrifice it at the beginning of the next end step.",R,R,uncommon,TDM,Tarkir: Dragonstorm,131,,,,,,token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
War Squeak,{R},1.0,Enchantment — Aura,"Enchant creature
When this Aura enters, target creature an opponent controls can't block this turn.
Enchanted creature gets +1/+1 and has haste.",R,R,common,BLB,Bloomburrow,160,,,,,Enchant,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Warleader's Call,{1}{R}{W},3.0,Enchantment,"Creatures you control get +1/+1.
Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.","R,W","R,W",rare,PMKM,Murders at Karlov Manor Promos,242p,,,,,,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Waterbender Ascension,{1}{U},2.0,Enchantment,"Whenever a creature you control deals combat damage to a player, put a quest counter on this enchantment. Then if it has four or more quest counters on it, draw a card.
Waterbend {4}: Target creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,rare,TLA,Avatar: The Last Airbender,79,,,,,Waterbend,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Watery Grasp,{U},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.
Waterbend {5}: Enchanted creature's owner shuffles it into their library. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,common,TLA,Avatar: The Last Airbender,82,,,,,Enchant;Waterbend,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Weapons Manufacturing,{1}{R},2.0,Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",R,R,rare,PEOE,Edge of Eternities Promos,168s,,,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Web of Life and Destiny,{6}{G}{G},8.0,Enchantment,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
At the beginning of combat on your turn, look at the top five cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",G,G,mythic,OM1,Through the Omenpaths,120,,,,,Convoke,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Web Up,{2}{W},3.0,Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",W,W,common,SPM,Marvel's Spider-Man,21,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Weftwalking,{4}{U}{U},6.0,Enchantment,"When this enchantment enters, if you cast it, shuffle your hand and graveyard into your library, then draw seven cards.
The first spell each player casts during each of their turns may be cast without paying its mana cost.",U,U,mythic,EOE,Edge of Eternities,86,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Welcome to Sweettooth,{1}{G},2.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create a 1/1 white Human creature token.
II — Create a Food token.
III — Put X +1/+1 counters on target creature you control, where X is one plus the number of Foods you control.",G,G,uncommon,WOE,Wilds of Eldraine,198,,,,,Food,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
