name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Abandon Attachments,{1}{U/R},2.0,Instant — Lesson,"You may discard a card. If you do, draw two cards.","R,U","R,U",common,TLA,Avatar: The Last Airbender,205,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,SOC,Secrets of Strixhaven Commander,234,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Accumulate Wisdom,{1}{U},2.0,Instant — Lesson,Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. Put each of those cards into your hand instead if there are three or more Lesson cards in your graveyard.,U,U,uncommon,TLA,Avatar: The Last Airbender,44,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Acrobatic Leap,{W},1.0,Instant,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,W,W,common,LCI,The Lost Caverns of Ixalan,2,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Adamant Will,{1}{W},2.0,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,FDN,Foundations,488,,,,,,protection;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Aetherize,{3}{U},4.0,Instant,Return all attacking creatures to their owner's hand.,U,U,uncommon,RVR,Ravnica Remastered,448,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Airbender's Reversal,{1}{W},2.0,Instant — Lesson,"Choose one —
• Destroy target attacking creature.
• Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",W,W,uncommon,TLA,Avatar: The Last Airbender,7,,,,,Airbend,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Airbending Lesson,{2}{W},3.0,Instant — Lesson,"Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Draw a card.",W,W,common,TLA,Avatar: The Last Airbender,8,,,,,Airbend,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Airship Crash,{2}{G},3.0,Instant,"Destroy target artifact, enchantment, or creature with flying.
Cycling {2} ({2}, Discard this card: Draw a card.)",G,G,common,FIN,Final Fantasy,171,,,,,Cycling,draw;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Ajani's Response,{4}{W},5.0,Instant,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",W,W,common,SOS,Secrets of Strixhaven,6,,,,,,removal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Alesha's Legacy,{1}{B},2.0,Instant,"Target creature you control gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",B,B,common,TDM,Tarkir: Dragonstorm,72,,,,,,protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Allies at Last,{2}{G},3.0,Instant,"Affinity for Allies (This spell costs {1} less to cast for each Ally you control.)
Up to two target creatures you control each deal damage equal to their power to target creature an opponent controls.",G,G,uncommon,TLA,Avatar: The Last Airbender,164,,,,,Affinity,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Amazing Acrobatics,{1}{U}{U},3.0,Instant,"Choose one or both —
• Counter target spell.
• Tap one or two target creatures.",U,U,common,OM1,Through the Omenpaths,29,,,,,,counter,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
An Offer You Can't Refuse,{U},1.0,Instant,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",U,U,rare,SLP,Secret Lair Promo,7,,,,"B,G,R,U,W",Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Ancestors' Aid,{1}{R},2.0,Instant,"Target creature gets +2/+0 and gains first strike until end of turn.
Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",R,R,common,LCI,The Lost Caverns of Ixalan,132,,,,"B,G,R,U,W",Treasure,pump;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Annul,{U},1.0,Instant,Counter target artifact or enchantment spell.,U,U,common,WC04,World Championship Decks 2004,ap29sb,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,premodern,predh"
Another Chance,{2}{B},3.0,Instant,"You may mill two cards. Then return up to two creature cards from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)",B,B,common,LCI,The Lost Caverns of Ixalan,90,,,,,Mill,bounce;mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Appeal to Eirdu,{3}{W},4.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
One or two target creatures each get +2/+1 until end of turn.",W,W,common,ECL,Lorwyn Eclipsed,5,,,,,Convoke,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
