name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Hamato Guardian Stance,{W},1.0,Instant,Target creature gets +1/+3 and gains flying until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),W,W,common,TMT,Teenage Mutant Ninja Turtles,8,,,,,Scry,pump;scry,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,rare,ECL,Lorwyn Eclipsed,54,,,,,Convoke,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Harsh Annotation,{1}{W},2.0,Instant,Destroy target creature. Its controller creates a 1/1 white and black Inkling creature token with flying.,W,W,uncommon,SOS,Secrets of Strixhaven,18,,,,,,removal;token,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Haste Magic,{1}{R},2.0,Instant,Target creature gets +3/+1 and gains haste until end of turn. Exile the top card of your library. You may play it until your next end step.,R,R,common,FIN,Final Fantasy,140,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Hazel's Nocturne,{3}{B},4.0,Instant,Return up to two target creature cards from your graveyard to your hand. Each opponent loses 2 life and you gain 2 life.,B,B,uncommon,BLB,Bloomburrow,97,,,,,,bounce;lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Heartless Act,{1}{B},2.0,Instant,"Choose one —
• Destroy target creature with no counters on it.
• Remove up to three counters from target creature.",B,B,uncommon,IKO,Ikoria: Lair of Behemoths,366,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Heated Argument,{4}{R},5.0,Instant,"Heated Argument deals 6 damage to target creature. You may exile a card from your graveyard. If you do, Heated Argument also deals 2 damage to that creature's controller.",R,R,common,SOS,Secrets of Strixhaven,118,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Heritage Reclamation,{1}{G},2.0,Instant,"Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Exile up to one target card from a graveyard. Draw a card.",G,G,common,TDM,Tarkir: Dragonstorm,145,,,,,,draw;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Hero's Downfall,{1}{B}{B},3.0,Instant,Destroy target creature or planeswalker.,B,B,uncommon,FDN,Foundations,319,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hide on the Ceiling,{X}{U},1.0,Instant,Exile X target artifacts and/or creatures. Return the exiled cards to the battlefield under their owners' control at the beginning of the next end step.,U,U,rare,OM1,Through the Omenpaths,44,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hidetsugu's Second Rite,{3}{R},4.0,Instant,"If target player has exactly 10 life, Hidetsugu's Second Rite deals 10 damage to that player.",R,R,rare,SOK,Saviors of Kamigawa,102,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
High Stride,{G},1.0,Instant,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,G,G,common,BLB,Bloomburrow,176,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Homesickness,{4}{U}{U},6.0,Instant,"Target player draws two cards. Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",U,U,uncommon,SOS,Secrets of Strixhaven,53,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Horrid Vigor,{1}{G},2.0,Instant,Target creature gains deathtouch and indestructible until end of turn.,G,G,common,DSK,Duskmourn: House of Horror,184,,,,,,protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
How to Start a Riot,{2}{R},3.0,Instant — Lesson,"Target creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Creatures target player controls get +2/+0 until end of turn.",R,R,common,TLA,Avatar: The Last Airbender,140,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Huatli's Final Strike,{2}{G},3.0,Instant,Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.,G,G,common,LCI,The Lost Caverns of Ixalan,190,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Hurl into History,{3}{U}{U},5.0,Instant,"Counter target artifact or creature spell. Discover X, where X is that spell's mana value. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",U,U,uncommon,LCI,The Lost Caverns of Ixalan,59,,,,,Discover,mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Hustle // Bustle,{U/R} // {4}{R/G}{R/G},7.0,Instant // Sorcery,,"G,R,U","G,R,U",uncommon,MKM,Murders at Karlov Manor,249,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
