name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Rabbit Response,{2}{W}{W},4.0,Instant,"Creatures you control get +2/+1 until end of turn. If you control a Rabbit, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",W,W,common,BLB,Bloomburrow,26,,,,,Scry,scry;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Rabid Attack,{1}{B},2.0,Instant,"Until end of turn, any number of target creatures you control each get +1/+0 and gain ""When this creature dies, draw a card.""",B,B,uncommon,SOS,Secrets of Strixhaven,96,,,,,,draw,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rabid Gnaw,{1}{R},2.0,Instant,Target creature you control gets +1/+0 until end of turn. Then it deals damage equal to its power to target creature you don't control.,R,R,uncommon,BLB,Bloomburrow,147,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Radiant Strike,{3}{W},4.0,Instant,Destroy target artifact or tapped creature. You gain 3 life.,W,W,common,EOE,Edge of Eternities,29,,,,,,lifegain;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Rakshasa's Bargain,{2/B}{2/G}{2/U},6.0,Instant,Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard.,"B,G,U","B,G,U",uncommon,TDM,Tarkir: Dragonstorm,214,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rally the Monastery,{3}{W},4.0,Instant,"This spell costs {2} less to cast if you've cast another spell this turn.
Choose one —
• Create two 1/1 white Monk creature tokens with prowess.
• Up to two target creatures you control each get +2/+2 until end of turn.
• Destroy target creature with power 4 or greater.",W,W,uncommon,TDM,Tarkir: Dragonstorm,19,,,,,,removal;token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Raphael's Technique,{4}{R}{R},6.0,Instant,"Sneak {2}{R} (You may cast this spell for {2}{R} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Each player may discard their hand and draw seven cards.",R,R,rare,TMT,Teenage Mutant Ninja Turtles,237,,,,,Sneak,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rapier Wit,{1}{W},2.0,Instant,"Tap target creature. If it's your turn, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card.",W,W,common,SOS,Secrets of Strixhaven,28,,,,,,draw,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Rat Out,{B},1.0,Instant,"Up to one target creature gets -1/-1 until end of turn. You create a 1/1 black Rat creature token with ""This token can't block.""",B,B,common,WOE,Wilds of Eldraine,103,,,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Razor Rings,{1}{W},2.0,Instant,Razor Rings deals 4 damage to target attacking or blocking creature. You gain life equal to the excess damage dealt this way.,W,W,common,TLE,Avatar: The Last Airbender Eternal,272,,,,,,lifegain,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
