name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Unauthorized Exit,{1}{U},2.0,Instant,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),U,U,common,MKM,Murders at Karlov Manor,298,,,,,Surveil,bounce;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Unbury,{1}{B},2.0,Instant,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target creature cards that share a creature type from your graveyard to your hand.",B,B,uncommon,ECL,Lorwyn Eclipsed,123,,,,,,bounce;reanimation,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Uncharted Voyage,{3}{U},4.0,Instant,"Target creature's owner puts it on their choice of the top or bottom of their library.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",U,U,common,FDN,Foundations,53,,,,,Surveil,surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Undying Malice,{B},1.0,Instant,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",B,B,common,VOW,Innistrad: Crimson Vow,134,,,,,,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Unexpected Assistance,{3}{U}{U},5.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Draw three cards, then discard a card.",U,U,common,ECL,Lorwyn Eclipsed,80,,,,,Convoke,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Unforgiving Aim,{2}{G},3.0,Instant,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Create a 2/2 black and green Elf creature token.",G,G,common,ECL,Lorwyn Eclipsed,200,,,,,,removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Unfortunate Accident,{B},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {2}{B} — Destroy target creature.
+ {1} — Create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",B,B,uncommon,OTJ,Outlaws of Thunder Junction,111,,,,,Spree,pump;removal;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Unlucky Drop,{3}{U},4.0,Instant,Target artifact or creature's owner puts it on their choice of the top or bottom of their library.,U,U,common,LCI,The Lost Caverns of Ixalan,82,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Unravel,{1}{U}{U},3.0,Instant,"Counter target spell. If the amount of mana spent to cast that spell was less than its mana value, you draw a card.",U,U,uncommon,EOE,Edge of Eternities,83,,,,,,counter;draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Unstable Experiment,{1}{U},2.0,Instant,"Target player draws a card, then up to one target creature you control connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)",U,U,common,OM1,Through the Omenpaths,45,,,,,Connive,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Unsubtle Mockery,{2}{R},3.0,Instant,Unsubtle Mockery deals 4 damage to target creature. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),R,R,common,SOS,Secrets of Strixhaven,136,,,,,Surveil,surveil,"standard,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Unsummon,{U},1.0,Instant,Return target creature to its owner's hand.,U,U,common,2ED,Unlimited Edition,87,,,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,oldschool,premodern,predh"
Untimely Malfunction,{1}{R},2.0,Instant,"Choose one —
• Destroy target artifact.
• Change the target of target spell or ability with a single target.
• One or two target creatures can't block this turn.",R,R,uncommon,DSK,Duskmourn: House of Horror,161,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Unwanted Remake,{W},1.0,Instant,"Destroy target creature. Its controller manifests dread. (That player looks at the top two cards of their library, then puts one onto the battlefield face down as a 2/2 creature and the other into their graveyard. If it's a creature card, it can be turned face up any time for its mana cost.)",W,W,uncommon,DSK,Duskmourn: House of Horror,39,,,,,,removal;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Urgent Necropsy,{2}{B}{G},4.0,Instant,"As an additional cost to cast this spell, collect evidence X, where X is the total mana value of the permanents this spell targets.
Destroy up to one target artifact, up to one target creature, up to one target enchantment, and up to one target planeswalker.","B,G","B,G",mythic,PMKM,Murders at Karlov Manor Promos,240p,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
