name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Ba Sing Se,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {G}.
{2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",,G,rare,PTLA,Avatar: The Last Airbender Promos,266s,,,,G,Earthbend,pump;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Baron, Airship Kingdom",,0.0,Land — Town,"This land enters tapped.
{T}: Add {U} or {R}.",,"R,U",common,FIN,Final Fantasy,273,,,,"R,U",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Blazemire Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {R}. Activate only if you control a Swamp or a Mountain.",,"B,R",rare,DSK,Duskmourn: House of Horror,329,,,,"B,R",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Bleachbone Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {W}. Activate only if you control a Plains or a Swamp.",,"B,W",rare,PDFT,Aetherdrift Promos,250s,,,,"B,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Bleeding Woods,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {R} or {G}.",,"G,R",common,DSK,Duskmourn: House of Horror,257,,,,"G,R",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,RVR,Ravnica Remastered,397z,,,,"B,R",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Bloodfell Caves,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {R}.",,"B,R",common,IKO,Ikoria: Lair of Behemoths,243,,,,"B,R",,lifegain;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Blooming Marsh,,0.0,Land,"This land enters tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",,"B,G",rare,PKLD,Kaladesh Promos,243s,,,,"B,G",,ramp;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Blossoming Sands,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {G} or {W}.",,"G,W",common,C19,Commander 2019,231,,,,"G,W",,lifegain;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Boiling Rock Prison,,0.0,Land,"This land enters tapped.
{T}: Add {B} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",,"B,R",common,TLA,Avatar: The Last Airbender,267,,,,"B,R",,draw;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Boros Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {R} or {W}.",,"R,W",common,C17,Commander 2017,240,,,,"R,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Botanical Sanctum,,0.0,Land,"This land enters tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",,"G,U",rare,SLD,Secret Lair Drop,1376,,,,"G,U",,ramp;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
