name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
"Rabanastre, Royal City",,0.0,Land — Town,"This land enters tapped.
{T}: Add {R} or {W}.",,"R,W",common,FIN,Final Fantasy,287,,,,"R,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,DGM,Dragon's Maze,154,,,,"B,R",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Raucous Carnival,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {R} or {W}.",,"R,W",common,DSK,Duskmourn: House of Horror,266,,,,"R,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Raucous Theater,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"B,R",rare,MKM,Murders at Karlov Manor,329,,,,"B,R",Surveil,ramp;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Razortrap Gorge,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {B} or {R}.",,"B,R",common,DSK,Duskmourn: House of Horror,267,,,,"B,R",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Realm of Koh,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {B}.
{3}{B}, {T}: Create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",,B,rare,TLA,Avatar: The Last Airbender,276,,,,B,,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Reef Roads,,0.0,Land,"This land enters tapped unless you control a Mount or Vehicle.
{T}: Add {U}.
{1}{U}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater."" Activate only as a sorcery.",,U,uncommon,DFT,Aetherdrift,259,,,,U,,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Restless Anchorage,,0.0,Land,"This land enters tapped.
{T}: Add {W} or {U}.
{1}{W}{U}: Until end of turn, this land becomes a 2/3 white and blue Bird creature with flying. It's still a land.
Whenever this land attacks, create a Map token.",,"U,W",rare,LCI,The Lost Caverns of Ixalan,347,,,,"U,W",,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Restless Bivouac,,0.0,Land,"This land enters tapped.
{T}: Add {R} or {W}.
{1}{R}{W}: This land becomes a 2/2 red and white Ox creature until end of turn. It's still a land.
Whenever this land attacks, put a +1/+1 counter on target creature you control.",,"R,W",rare,PWOE,Wilds of Eldraine Promos,257p,,,,"R,W",,pump;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Restless Cottage,,0.0,Land,"This land enters tapped.
{T}: Add {B} or {G}.
{2}{B}{G}: This land becomes a 4/4 black and green Horror creature until end of turn. It's still a land.
Whenever this land attacks, create a Food token and exile up to one target card from a graveyard.",,"B,G",rare,WOE,Wilds of Eldraine,304,,,,"B,G",Food,ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
