name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,RVR,Ravnica Remastered,409z,,,,"R,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,PLST,The List,KTK-241,,,,"B,G,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Sandstorm Verge,,0.0,Land — Desert,"{T}: Add {C}.
{3}, {T}: Target creature can't block this turn. Activate only as a sorcery.",,,uncommon,OTJ,Outlaws of Thunder Junction,263,,,,C,,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Savage Mansion,,0.0,Land,"This land enters tapped.
{T}: Add {R} or {G}.
{4}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"G,R",common,SPM,Marvel's Spider-Man,183,,,,"G,R",Surveil,ramp;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Scoured Barrens,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {W} or {B}.",,"B,W",common,NEO,Kamigawa: Neon Dynasty,274,,,,"B,W",,lifegain;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Secluded Courtyard,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.",,,uncommon,NEO,Kamigawa: Neon Dynasty,275,,,,"B,C,G,R,U,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Secluded Starforge,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery.
{5}, {T}: Create a 2/2 colorless Robot artifact creature token.",,,mythic,EOE,Edge of Eternities,392,,,,C,,pump;ramp;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Secret Tunnel,,0.0,Land — Cave,"This land can't be blocked.
{T}: Add {C}.
{4}, {T}: Two target creatures you control that share a creature type can't be blocked this turn.",,,rare,TLA,Avatar: The Last Airbender,278,,,,C,,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Selesnya Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {G} or {W}.",,"G,W",common,C13,Commander 2013,321,,,,"G,W",,ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Serpent's Pass,,0.0,Land,"This land enters tapped.
{T}: Add {U} or {B}.
{4}, {T}, Sacrifice this land: Draw a card.",,"B,U",common,TLA,Avatar: The Last Airbender,279,,,,"B,U",,draw;ramp,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
