name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Hard-Hitting Question,{G},1.0,Sorcery,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,G,G,uncommon,MKM,Murders at Karlov Manor,164,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Harmless Offering,{2}{R},3.0,Sorcery,Target opponent gains control of target permanent you control.,R,R,rare,PEMN,Eldritch Moon Promos,131s,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Haunt the Network,{3}{U}{B},5.0,Sorcery,"Choose target opponent. Create two 1/1 colorless Thopter artifact creature tokens with flying. Then the chosen player loses X life and you gain X life, where X is the number of artifacts you control.","B,U","B,U",uncommon,DFT,Aetherdrift,207,,,,,,lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hell to Pay,{X}{R},1.0,Sorcery,Hell to Pay deals X damage to target creature. Create a number of tapped Treasure tokens equal to the amount of excess damage dealt to that creature this way.,R,R,rare,POTJ,Outlaws of Thunder Junction Promos,126s,,,,,Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Hellish Sideswipe,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or Vehicle. If the sacrificed permanent was a Vehicle, draw a card.",B,B,uncommon,DFT,Aetherdrift,90,,,,,,draw;removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Helping Hand,{W},1.0,Sorcery,Return target creature card with mana value 3 or less from your graveyard to the battlefield tapped.,W,W,uncommon,LCI,The Lost Caverns of Ixalan,17,,,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Heroes' Hangout,{R},1.0,Sorcery,"Choose one —
• Date Night — Exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card.
• Patrol Night — One or two target creatures each get +1/+0 and gain first strike until end of turn.",R,R,uncommon,SPM,Marvel's Spider-Man,79,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Heroic Reinforcements,{2}{R}{W},4.0,Sorcery,"Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)","R,W","R,W",uncommon,ONC,Phyrexia: All Will Be One Commander,118,,,,,,token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hide in Plain Sight,{3}{G},4.0,Sorcery,"Look at the top five cards of your library, cloak two of them, and put the rest on the bottom of your library in a random order. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)",G,G,rare,MKM,Murders at Karlov Manor,410,,,,,Cloak,protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Highway Robbery,{1}{R},2.0,Sorcery,"You may discard a card or sacrifice a land. If you do, draw two cards.
Plot {1}{R} (You may pay {1}{R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",R,R,common,OTJ,Outlaws of Thunder Junction,129,,,,,Plot,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Hit the Mother Lode,{4}{R}{R}{R},7.0,Sorcery,"Discover 10. If the discovered card's mana value is less than 10, create a number of tapped Treasure tokens equal to the difference. (To discover 10, exile cards from the top of your library until you exile a nonland card with mana value 10 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",R,R,rare,PLCI,The Lost Caverns of Ixalan Promos,153s,,,,,Treasure;Discover,mill;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Honor,{W},1.0,Sorcery,"Put a +1/+1 counter on target creature.
Draw a card.",W,W,uncommon,EOE,Edge of Eternities,21,,,,,,draw;pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hop to It,{2}{W},3.0,Sorcery,Create three 1/1 white Rabbit creature tokens.,W,W,uncommon,SOA,Secrets of Strixhaven Mystical Archive,6,,,,,,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Hymn of the Faller,{1}{B},2.0,Sorcery,"Surveil 1, then you draw a card and lose 1 life. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)
Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, draw another card.",B,B,uncommon,EOE,Edge of Eternities,107,,,,,Surveil;Void,draw;surveil;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
