name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Ill-Timed Explosion,{2}{U}{R},4.0,Sorcery,"Draw two cards. Then you may discard two cards. When you do, Ill-Timed Explosion deals X damage to each creature, where X is the greatest mana value among cards discarded this way.","R,U","R,U",rare,MKM,Murders at Karlov Manor,207,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Impolite Entrance,{R},1.0,Sorcery,"Target creature gains trample and haste until end of turn.
Draw a card.",R,R,uncommon,ECL,Lorwyn Eclipsed,146,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Impractical Joke,{R},1.0,Sorcery,Damage can't be prevented this turn. Impractical Joke deals 3 damage to up to one target creature or planeswalker.,R,R,uncommon,SOS,Secrets of Strixhaven,119,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Improvisation Capstone,{5}{R}{R},7.0,Sorcery — Lesson,"Exile cards from the top of your library until you exile cards with total mana value 4 or greater. You may cast any number of spells from among them without paying their mana costs.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",R,R,mythic,SOS,Secrets of Strixhaven,294,,,,,Paradigm,mill,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Incinerating Blast,{4}{R},5.0,Sorcery,"Incinerating Blast deals 6 damage to target creature.
You may discard a card. If you do, draw a card.",R,R,common,FDN,Foundations,90,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Insatiable Avarice,{B},1.0,Sorcery,"Spree (Choose one or more additional costs.)
+ {2} — Search your library for a card, then shuffle and put that card on top.
+ {B}{B} — Target player draws three cards and loses 3 life.",B,B,rare,POTJ,Outlaws of Thunder Junction Promos,91p,,,,,Spree,tutor,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Inspiration from Beyond,{2}{U},3.0,Sorcery,"Mill three cards, then return an instant or sorcery card from your graveyard to your hand.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",U,U,uncommon,FDN,Foundations,43,,,,,Flashback;Mill,flash;mill,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Intimidation Tactics,{B},1.0,Sorcery,"Target opponent reveals their hand. You choose an artifact or creature card from it. Exile that card.
Cycling {3} ({3}, Discard this card: Draw a card.)",B,B,uncommon,DFT,Aetherdrift,92,,,,,Cycling,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Into the Fae Court,{3}{U}{U},5.0,Sorcery,"Draw three cards. Create a 1/1 blue Faerie creature token with flying and ""This token can block only creatures with flying.""",U,U,common,WOE,Wilds of Eldraine,57,,,,,,draw;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Involuntary Employment,{3}{R},4.0,Sorcery,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",R,R,uncommon,SNC,Streets of New Capenna,110,,,,"B,G,R,U,W",Treasure,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Iroh's Demonstration,{1}{R},2.0,Sorcery — Lesson,"Choose one —
• Iroh's Demonstration deals 1 damage to each creature your opponents control.
• Iroh's Demonstration deals 4 damage to target creature.",R,R,uncommon,TLA,Avatar: The Last Airbender,141,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Ishgard, the Holy See // Faith & Grief",{3}{W}{W},0.0,Land — Town // Sorcery — Adventure,,,W,rare,FIN,Final Fantasy,283,,,,W,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
