name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Macabre Reconstruction,{3}{B},4.0,Sorcery,"This spell costs {2} less to cast if a creature card was put into your graveyard from anywhere this turn.
Return up to two target creature cards from your graveyard to your hand.",B,B,common,MKM,Murders at Karlov Manor,93,,,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Macabre Waltz,{1}{B},2.0,Sorcery,"Return up to two target creature cards from your graveyard to your hand, then discard a card.",B,B,common,FDN,Foundations,177,,,,,,bounce,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel,predh"
Maelstrom Pulse,{1}{B}{G},3.0,Sorcery,Destroy target nonland permanent and all other permanents with the same name as that permanent.,"B,G","B,G",rare,FDN,Foundations,661,,,,,,removal;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Make Your Own Luck,{3}{G}{U},5.0,Sorcery,"Look at the top three cards of your library. You may exile a nonland card from among them. If you do, it becomes plotted. Put the rest into your hand. (You may cast it as a sorcery on a later turn without paying its mana cost.)","G,U","G,U",uncommon,OTJ,Outlaws of Thunder Junction,218,,,,,Plot,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Malamet Battle Glyph,{G},1.0,Sorcery,"Choose target creature you control and target creature you don't control. If the creature you control entered this turn, put a +1/+1 counter on it. Then those creatures fight each other.",G,G,uncommon,LCI,The Lost Caverns of Ixalan,198,,,,,Fight,pump,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Malicious Eclipse,{1}{B}{B},3.0,Sorcery,"All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.",B,B,uncommon,LCI,The Lost Caverns of Ixalan,111,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Mammoth Bellow,{2}{G}{U}{R},5.0,Sorcery,"Create a 5/5 green Elephant creature token.
Harmonize {5}{G}{U}{R} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by {X}, where X is its power. Then exile this spell.)","G,R,U","G,R,U",uncommon,TDM,Tarkir: Dragonstorm,205,,,,,Harmonize,token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Manifest Dread,{1}{G},2.0,Sorcery,Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.),G,G,common,DSK,Duskmourn: House of Horror,189,,,,,Manifest;Manifest dread,tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Map the Frontier,{3}{G},4.0,Sorcery,"Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.",G,G,uncommon,OTJ,Outlaws of Thunder Junction,170,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Mathemagics,{X}{X}{U}{U},2.0,Sorcery,"Target player draws 2ˣ cards. (2º = 1, 2¹ = 2, 2² = 4, 2³ = 8, 2⁴ = 16, 2⁵ = 32, and so on.)",U,U,mythic,SOS,Secrets of Strixhaven,320,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Memories Returning,{2}{U}{U},4.0,Sorcery,"Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand.
Flashback {7}{U}{U}",U,U,rare,FIN,Final Fantasy,63,,,,,Flashback,flash;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Michelangelo's Technique,{4}{G},5.0,Sorcery,"Sneak {3}{G} (You may cast this spell for {3}{G} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Look at the top eight cards of your library. Put up to two creature cards with total mana value 6 or less from among them onto the battlefield and the rest on the bottom of your library in a random order.",G,G,rare,TMT,Teenage Mutant Ninja Turtles,122,,,,,Sneak,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
"Midgar, City of Mako // Reactor Raid",{2}{B},0.0,Land — Town // Sorcery — Adventure,,,B,rare,FIN,Final Fantasy,286,,,,B,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Midnight Mayhem,{2}{R}{W},4.0,Sorcery,"Create three 1/1 red Gremlin creature tokens. Gremlins you control gain menace, lifelink, and haste until end of turn. (A creature with menace can't be blocked except by two or more creatures.)","R,W","R,W",uncommon,DSK,Duskmourn: House of Horror,222,,,,,,lifegain;token,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Mind into Matter,{X}{G}{U},2.0,Sorcery,Draw X cards. Then you may put a permanent card with mana value X or less from your hand onto the battlefield tapped.,"G,U","G,U",rare,SOS,Secrets of Strixhaven,202,,,,,,draw,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Mind Roots,{1}{B}{G},3.0,Sorcery,Target player discards two cards. Put up to one land card discarded this way onto the battlefield tapped under your control.,"B,G","B,G",uncommon,SOS,Secrets of Strixhaven,203,,,,,,discard,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Mind Spiral,{4}{U},5.0,Sorcery,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Target player draws three cards. If the gift was promised, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",U,U,common,BLB,Bloomburrow,59,,,,,Gift,token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Mind Spring,{X}{U}{U},2.0,Sorcery,Draw X cards.,U,U,rare,DDT,Duel Decks: Merfolk vs. Goblins,14,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel,predh"
Molten Collapse,{B}{R},2.0,Sorcery,"Choose one. If you descended this turn, you may choose both instead. (You descended if a permanent card was put into your graveyard from anywhere.)
• Destroy target creature or planeswalker.
• Destroy target noncreature, nonland permanent with mana value 1 or less.","B,R","B,R",rare,LCI,The Lost Caverns of Ixalan,234,,,,,,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Molten Duplication,{1}{R},2.0,Sorcery,"Create a token that's a copy of target artifact or creature you control, except it's an artifact in addition to its other types. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.",R,R,mythic,BIG,The Big Score,79,,,,,,token;tribal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Molten Exhale,{1}{R},2.0,Sorcery,"You may cast this spell as though it had flash if you behold a Dragon as an additional cost to cast it. (To behold a Dragon, choose a Dragon you control or reveal a Dragon card from your hand.)
Molten Exhale deals 4 damage to target creature or planeswalker.",R,R,common,TDM,Tarkir: Dragonstorm,113,,,,,Behold,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Molten Note,{X}{R}{W},2.0,Sorcery,"Molten Note deals damage to target creature equal to the amount of mana spent to cast this spell. Untap all creatures you control.
Flashback {6}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","R,W","R,W",uncommon,SOS,Secrets of Strixhaven,204,,,,,Flashback,flash;removal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Moment of Reckoning,{3}{W}{W}{B}{B},7.0,Sorcery,"Choose up to four. You may choose the same mode more than once.
• Destroy target nonland permanent.
• Return target nonland permanent card from your graveyard to the battlefield.","B,W","B,W",rare,SOS,Secrets of Strixhaven,205,,,,,,bounce;removal,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
