name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,produced_mana,keywords,tags,legal_formats
Pearl of Wisdom,{2}{U},3.0,Sorcery,"This spell costs {1} less to cast if you control an Otter.
Draw two cards.",U,U,common,BLB,Bloomburrow,64,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Perennation,{3}{W}{B}{G},6.0,Sorcery,Return target permanent card from your graveyard to the battlefield with a hexproof counter and an indestructible counter on it.,"B,G,W","B,G,W",mythic,PTDM,Tarkir: Dragonstorm Promos,212s,,,,,,bounce;protection,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Perfect Intimidation,{3}{B},4.0,Sorcery,"Choose one or both —
• Target opponent exiles two cards from their hand.
• Remove all counters from target creature.",B,B,uncommon,ECL,Lorwyn Eclipsed,115,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Pest Control,{W}{B},2.0,Sorcery,"Destroy all nonland permanents with mana value 1 or less.
Cycling {2} ({2}, Discard this card: Draw a card.)","B,W","B,W",mythic,BIG,The Big Score,52,,,,,Cycling,draw;wipe,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Pick Your Poison,{G},1.0,Sorcery,"Choose one —
• Each opponent sacrifices an artifact of their choice.
• Each opponent sacrifices an enchantment of their choice.
• Each opponent sacrifices a creature with flying of their choice.",G,G,uncommon,SOA,Secrets of Strixhaven Mystical Archive,185,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,paupercommander,duel"
Pilfer,{1}{B},2.0,Sorcery,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.,B,B,uncommon,DMU,Dominaria United,102,,,,,,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Pillage the Bog,{B}{G},2.0,Sorcery,"Look at the top X cards of your library, where X is twice the number of lands you control. Put one of them into your hand and the rest on the bottom of your library in a random order.
Plot {1}{B}{G} (You may pay {1}{B}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)","B,G","B,G",rare,POTJ,Outlaws of Thunder Junction Promos,224p,,,,,Plot,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Pitiless Carnage,{3}{B},4.0,Sorcery,"Sacrifice any number of permanents you control, then draw that many cards.
Plot {1}{B}{B} (You may pay {1}{B}{B} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",B,B,rare,OTJ,Outlaws of Thunder Junction,326,,,,,Plot,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,penny,commander,oathbreaker,standardbrawl,brawl,duel"
Plan the Heist,{2}{U}{U},4.0,Sorcery,"Surveil 3 if you have no cards in hand. Then draw three cards. (To surveil 3, look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Plot {3}{U} (You may pay {3}{U} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",U,U,uncommon,OTJ,Outlaws of Thunder Junction,62,,,,,Surveil;Plot,draw;surveil,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,duel"
Planar Engineering,{3}{G},4.0,Sorcery,"Sacrifice two lands. Search your library for four basic land cards, put them onto the battlefield tapped, then shuffle.",G,G,rare,SOS,Secrets of Strixhaven,340,,,,,,,"standard,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Plasma Bolt,{R},1.0,Sorcery,"Plasma Bolt deals 2 damage to any target.
Void — Plasma Bolt deals 3 damage instead if a nonland permanent left the battlefield this turn or a spell was warped this turn.",R,R,common,EOE,Edge of Eternities,152,,,,,Void,,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,pauper,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,paupercommander,duel"
Playful Shove,{1}{R},2.0,Sorcery,"Playful Shove deals 1 damage to any target.
Draw a card.",R,R,uncommon,BLB,Bloomburrow,145,,,,,,draw,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
Plow Through,{G},1.0,Sorcery,"Choose one —
• Target creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)
• Destroy target Vehicle.",G,G,uncommon,DFT,Aetherdrift,174,,,,,Fight,removal,"standard,future,historic,timeless,gladiator,pioneer,modern,legacy,vintage,commander,oathbreaker,standardbrawl,brawl,alchemy,duel"
